Sentence,Formal_20
"Say , Jim , how about going for a few beers after dinner ? ","Jim, can you please let me know your thoughts on having a beer and having dinner?"
 You know that is tempting but is really not good for our fitness . ,"Despite its tempting nature, it is not conducive to our fitness."
 What do you mean ? It will help us to relax . ,I'm not sure what you're talking about. It's a great way to unwind and unplug.
 Do you really think so ? I don't . It will just make us fat and act silly . Remember last time ? ,Are you convinced of this statement? I disagree. It will only make us fat and make silly mistakes.
 I guess you are right.But what shall we do ? I don't feel like sitting at home . ,I'm not in the mood to sit at home. What should I do?
 I suggest a walk over to the gym where we can play singsong and meet some of our friends . ,I propose going to the gym to have a sing-along session and meet some of our friends.
 That's a good idea . I hear Mary and Sally often go there to play pingpong.Perhaps we can make a foursome with them . ,That's a great idea. Mary and Sally often go there for ping pong and I'm thinking about forming  if we can arrange supper with them.
" Sounds great to me ! If they are willing , we could ask them to go dancing with us.That is excellent exercise and fun , too . ","I must say that sounds great!! As a matter of fact, we could ask them to dance with us, which is an excellent way to get fit and also enjoy the exercise."
 Good.Let ' s go now . ,Good. Let's go.
 All right . ,All the most suitable.
Can you do push-ups ? ,Are you able to do push-ups on your own?
" Of course I can . It's a piece of cake ! Believe it or not , I can do 30 push-ups a minute . ","I'm almost done with doing half a dozen push-ups in ten minutes, which is hardly believable."
 Really ? I think that's impossible ! ,Is it not possible for you to believe me? I doubt it at all.
 You mean 30 push-ups ? ,What's the meaning of 30 push-ups?
 Yeah ! ,Is it true?
" It's easy . If you do exercise everyday , you can make it , too . ","It's uncomplicated. If you exercise daily, you can also make it easy."
Can you study with the radio on ? ,Is it possible for you to use the radio to study with the aid of a radio?
" No , I listen to background music . ","No, I don't listen to music in the background."
 What is the difference ? ,What distinguishes the dissimilar?
 The radio has too many comerials . ,The radio has an excessive number of comerials.
" That's true , but then you have to buy a record player . ","That's correct, but then you have to buy a record player as well."
Are you all right ? ,Are you a complete fuck?
 I will be all right soon . I was terrified when I watched them fall from the wire . ,I am going to be all well shortly. When I watched them fall from the sky I was terrified.
 Don't worry.He is an acrobat 。 ,He is an acrobat. Don't be surprised.He is not afraid of heights.
 I see . ,I see.
"Hey John , nice skates . Are they new ? ","John, I'm curious if you have any new skates for me to try out."
" Yeah , I just got them . I started playing ice hockey in a community league . So , I finally got myself new skates . ","I recently acquired new skates, which I'm a ice hockey player who started in 'a community league'."
 What position do you play ? ,What is your preferred position?
 I ’ m a defender . It ’ s a lot of fun . You don ’ t have to be able to skate as fast on defense . ,"Being a defender is enjoyable. However, you don’t have to be lightning fast on defense."
" Yeah , you ’ re a pretty big guy . I play goalie , myself . ",I'm a goalkeeper and I feel like I can relate to you.
" Oh , yeah ? Which team ? ",What's the team? YES?
 The Rockets . ,The Rockets.
" Really ? I think we play you guys next week . Well , I have to go to practice . See you later . ",Is it true? I believe we're playing together next week. I have to go to practice. See you later.
" All right , see you later . ","I'll be back to you at a later time, all right."
"Hey Lydia , what are you reading ? ","Lydia, can you tell me what you're reading?"
" I ’ m looking at my horoscope for this month ! My outlook is very positive . It says that I should take a vacation to someplace exotic , and that I will have a passionate summer fling ! ",Horoscopes: This month I have a very positive horocopy for this month - it is very optimistic that I will be able to enjoy sextroe and enjoy my summer vacation somewhere exotic!!
 What are you talking about ? Let me see that ... What are horoscopes ? ,What is your perspective on horoscopes?
" It ’ s a prediction of your month , based on your zodiac sign . You have a different sign for the month and date you were born in . I was born on April 15th , so I ’ m an Aries . When were you born ? ",Is there a month and date in which you can predict based on your zodiac sign? I was born on April 15th and I am an Aries.
 January 5th . ,January 5th marked the beginning of the current week.
" Let ’ s see . . . you ’ re a Capricorn . It says that you will be feeling stress at work , but you could see new , exciting developments in your love life . Looks like we ’ ll both have interesting summers ! ","Capricorn is a sign that indicates work-related stress, but also offers opportunities for love and romance."
" That ’ s bogus . I don't feel any stress at work , and my love life is practically nonexistent . This zodiac stuff is all a bunch of nonsense . ",I'm not experiencing stress at work and my love life is almost non-existent. All of this is a figment of the zodiac. It's all bogus. This is absolutely nothing.
" No , it ’ s not , your astrology sign can tell you a lot about your personality . See ? It says that an Aries is energetic and loves to socialize . ","Aries is a luminous sign who enjoys socializing, according to astrology, but this is not purely based on personal preference."
" Well , you certainly match those criteria , but they ’ re so broad they could apply to anyone . What does it say about me ? ","I'm sure I meet all the necessary criteria, but they're not exhaustive. What does this say about me?"
 A Capricorn is serious-minded and practical . She likes to do things in conventional ways . That sounds just like you ! ,Capricorn is a person of high social standing and practicality. She has inclination to engage in conventional activities. Sounds like you could be referring to me!
"Frank ’ s getting married , do you believe this ? ","Frank is getting married, do you share his opinion?"
 Is he really ? ,Is he truly sincere?
" Yes , he is . He loves the girl very much . ","Yes, he is. He has a great love for the girl."
 Who is he marring ? ,Who is the person he is attempting to mistreat?
" A girl he met on holiday in Spain , I think . ",I believe he met a girl whereas hung up her on holiday in Spain.
 Have they set a date for the wedding ? ,Has a date been arranged for the wedding?
 Not yet . ,Not yet.
I hear you bought a new house in the northern suburbs . ,It seems like you have purchased a new home in the suburbs that are situated in northern suburbia.
" That ’ s right , we bought it the same day we came on the market . ",We acquired it on the day we went on our first day of selling.
 What kind of house is it ? ,What is the classification of the house?
 It ’ s a wonderful Spanish style . ,The Spanish style is a wonderful and delightful choice.
" Oh , I love the roof tiles on Spanish style houses . ","Oh, I am smitten with the roof tiles on Spanish-style homes."
 And it ’ s a bargaining . A house like this in river side costs double the price . ,The cost of a riverside home is double the price of this one.
" Great , is it a two bedroom house ? ",Is the house just a two-bedroomed residence?
" No , it has three bedrooms and three beds , and has a living room with a twelve-foot ceiling . There ’ s a two-car garage . ","The house has three bedrooms, three beds, a living room with ice and  trellising to the ceiling, and also has en suite bathrooms with showers and separate toilets."
 That ’ s a nice area too . It ’ ll be a good investment for you . ,That's a lovely place as well. It'll be advisable to invest in that area.
" Yeas , when will you buy a house ? ","When do you plan to buy a house, dear?"
" Not untill the end of this year , you know , just before my wedding . ","I'm assuming it's not until late next year, right before my wedding."
" Right , congratulations . ","Right, congratulations."
 Thank you . ,Thank you.
"Hi , Becky , what's up ? ","Becky, what's the latest news?"
" Not much , except that my mother-in-law is driving me up the wall . ","I'm not very active, except for the fact that my mother-in-law is driving me insane."
 What's the problem ? ,What's the matter?
 She loves to nit-pick and criticizes everything that I do . I can never do anything right when she's around . ,I am never able to do anything right around her. She loves to nit-pick and criticize everything that I do.
 For example ? ,?
" Well , last week I invited her over to dinner . My husband and I had no problem with the food , but if you listened to her , then it would seem like I fed her old meat and rotten vegetables . There's just nothing can please her . ","I brought her for dinner last week. Although she was fine with the food, if she listened to me properly, it would seem like I fed her old meat and rotten vegetables. There's no way to satisfy her."
" No , I can't see that happening . I know you're a good cook and nothing like that would ever happen . ","I doubt it's possible, but I can't imagine that happening. You're a good cook, so I'm willing to give it pause."
 It's not just that . She also criticizes how we raise the kids . ,"She doesn't just say it's a matter of raising the kids, she also criticizes raising them as 'childish'."
" My mother-in-law used to do the same thing to us . If it wasn't disciplining them enough , then we were disciplining them too much . She also complained about the food we fed them , the schools we sent them too , and everything else under the sun . ","My mother-in-law used to make us disciplining them too much, but now she does too. She also has complaints about the food we fed her, the schools we sent them to, and everything else that comes after school."
 You said she used to ? How did you stop her ? ,What steps did you take to stop her from doing what you said she used to do?
" We basically sat her down and told her how we felt about her constant criticizing , and how we welcomed her advice but hoped she'd let us do our things . She understood , and now everything is a lot more peaceful . ","We facilitated a discussion and shared our feelings about her constant criticism, and we welcomed her advice but hoped she would allow us to proceed. She comprehended, leading to reassurances, which has now become more peaceful."
 That sounds like a good idea . I'll have to try that . ,I'm willing to give it a try. That sounds like sănătious. Thanks.
How are Zina's new programmers working out ? ,What is the progress report for Zina's new programmers in terms of their skills?
" I hate to admit it , but they're good . And fast . The Filipino kid is a genius . ","Despite my reluctance, I can't say without saying that they're good. And they come in so fast. The Filipino kid is a prodigy."
" So you'll make the Stars.com deadline , and have us up and running next week ? ","Are you planning to open Stars.com after the deadline next week, and will you be able to enable us?"
" It'll be close , but we'll make it . ","We'll make it, but it's a close call."
" Good . After Stars.com starts paying us , we won't need Vikam's cash anymore . ","Stars.com has started paying Vikam's cash, so we won't need to worry about it anymore."
" And if we don't need them , we won't need Zina , either . ",Zina is not necessary if we don't require them.
Do you like cooking ? ,Are you fond of cooking?
 Yes . I like cooking very much . I got this hobby when I was 12 years sold . ,I have a passion for cooking and I started having lust in my spare time when I was 12 years old and sold everything.
 Why do you like it ? ,What is it about this that you find appealing?
 I have no idea . I like cooking by myself . I like to taste delicious food . ,I have no idea. I enjoy cooking by myself.I like to taste delicious food..but I don't know.
 That's wonderful ! ,That's fantastic!
" And I love trying new recipes , which I usually test with my friends . You can come , too . ","I have a fondness for trying out new recipes, especially ones that I usually share with my friends. I welcome you to join me in this endeavor."
 Really ? I hope I can have a chance to taste it . Don't forget to tell me . ,Can you tell me if it is genuine? I want to have the opportunity to try it. Kindly let me know.
 Certainly . ,Certainly.
Anyone home ? Jen ! ,"Jen, are you still at home with anyone?"
 I'm in the kitchen ... let yourself in ! ,I'm in the kitchen... enter yourself!
 Wow ! You're really working up a storm ! ,":-), ). YUIUI IS VERY QUIET! Certainly you're going to impress me ;)) 2)) I have never met before this one - but seriously, I really appreciate it a lot!"
 I know . I've even worked up a sweat . ,I've pushed myself to work out my sweat.
 You look like a cooking show host--only messier . ,"You're like a cast of improvised cooking shows, but with fewer messes."
