Sentence,Paraphrase,Formal_10,Formal_15,Formal_20,Informal_10,Informal_15,Informal_20
"Say , Jim , how about going for a few beers after dinner ? ","Jim, can you please let me know your thoughts on having a beer and having a good conversation after dinner?","Jim, can you please let me know your thoughts on having a beer and having dinner?","Jim, can you please let me know your thoughts on having a beer and having dinner?","Jim, can you please let me know your thoughts on having a beer and having dinner?",Would you all mind if you could allring down a couple of beers afterno on supper? Jim,Would you all mind if you could sidlin after dinner?,Would anybody happy cuz I could have a couple of beers after the dinner Jim?
 You know that is tempting but is really not good for our fitness . ,"Despite its tempting nature, it is not conducive to our fitness.","Despite its tempting nature, it is not conducive to our fitness.","Despite its tempting nature, it is not conducive to our fitness.","Despite its tempting nature, it is not conducive to our fitness.","You could easily indent up if you know, "" that's really bad for your tummy & your wallet, you see, but it actually kind of hurts the muscles, it just doesn't at all, bad guys on your gymming around.""","You could easily indent up if you know, "" that's really bad for your tummy & your budget, you see, but it actually kind of hurts your jeans and you don't know what to do about it, right now you're blaming your self for not knowing what you do on your gym bag or your wallet either! "", and the thing is, there'as a good size and weight and hardly any worries","You could easily indent up yo that's really not good for our health, you know?"
 What do you mean ? It will help us to relax . ,I'm not sure what you're talking about. It's a great way to unwind and unwind.,I'm not sure what you're talking about. It's a great way to unwind and unplug.,I'm not sure what you're talking about. It's a great way to unwind and unplug.,I'm not sure what you're talking about. It's a great way to unwind and unplug.,Could U understand what you're saying? It'll be good for our tranquility.,Could U understand what you're saying? It'll be good for our tranquility. I'm hoping it's the right thing to say.,"Could U understand what you're saying? I think it'll be good for our well-being and if we use it to our advantage, it will help us to be more attuned to the world's resources."
 Do you really think so ? I don't . It will just make us fat and act silly . Remember last time ? ,Are you convinced of this statement? I don't believe it. It will only lead to weight gain and silly behavior.,Are you convinced of this statement? I disagree. It will only make us fat and make silly mistakes.,Are you convinced of this statement? I disagree. It will only make us fat and make silly mistakes.,Are you convinced of this statement? I disagree. It will only make us fat and make silly mistakes.,"Would you really even dalot? I wouldn't, it'll make us fat and fuck you up. Rinse yours?","Would you tell your full and complete disgnid about it? I wouldn't. It'll just make us fat and do dumb things, like we're dumb for life.",Would that happen anyway you're like? I really don't that way. It'll just make our tummy bigger and we'd do stupid stupid things. Remember when you were on a strict diet and it was your last time?
 I guess you are right.But what shall we do ? I don't feel like sitting at home . ,"I think you are correct, but what should we do? I don't feel like sitting at home any longer.",I think I am on the right path. But I don't want to sit at home and watch TV. What should I do?,I'm not in the mood to sit at home. What should I do?,I'm not in the mood to sit at home. What should I do?,I can''t wait to go back to bed. I guess you're right. But I don'T want to sit at home. What should I do?,Can that one little thing you said to me right now? I don't even need to go outside.,"You said it right, I guess you are right.But I don't want to sit at home any longer, what should I do?"
 I suggest a walk over to the gym where we can play singsong and meet some of our friends . ,I propose going to the gym to play sing-along and socialize with friends.,I propose going to the gym to have a sing-along session and meet some of our friends.,I propose going to the gym to have a sing-along session and meet some of our friends.,I propose going to the gym to have a sing-along session and meet some of our friends.,Would you neath walk to the gym to sing at the song and meet some of our friends?,Would that you neat to go walk over the road to the gym and let's just have a good sing-a-long time and hangout with some friends (my boyfriend and I are new to this and everything we're supposed to be doing soon)!!!!!!!,Would that you neath walk to the gym to have a sing-song session and catch up with some of our friends if you can make it there at gym time 09.
 That's a good idea . I hear Mary and Sally often go there to play pingpong.Perhaps we can make a foursome with them . ,That's a great idea. Mary and Sally often go there for a game of ping pong. Would it be possible to have a foursome with them?,That's a great idea. Mary and Sally often go there for ping pong and I'm thinking about forming if we can arrange supper with them.,That's a great idea. Mary and Sally often go there for ping pong and I'm thinking about forming if we can arrange supper with them.,That's a great idea. Mary and Sally often go there for ping pong and I'm thinking about forming  if we can arrange supper with them.,"Could that one good idea. I hear Mary and Sally that for the fun of pistong there, they used to go there for a game of table pingpong and I thought maybe we could make icebreakers for our foursome outings there someday.",Could that one good idea to you all enquiRED - Mary and Sally always go there to play ping pong and I thought maybe we could make a foursome with that friends?,Could that one good idea to you all enquiRED - Mary and Sally always go there to play p2p and I hear they both go over there for a game of ping pong and maybe even tie the tie and tie it up in forming 'a foursome' At some point
" Sounds great to me ! If they are willing , we could ask them to go dancing with us.That is excellent exercise and fun , too . ","I think that sounds wonderful!! If they are willing, we could ask them to dance with us, which is great exercise, great fun,and a great way to add some exercise.","I think it's awesome! Whenever they want to join us, we could ask them to dance with us. That'll be an excellent exercise and fun as it will be a great way to keep yourself energized and enjoy the process.","I must say that sounds great!! As a matter of fact, we could ask them to dance with us, which is an excellent way to get fit and also enjoy the exercise.","I must say that sounds great!! As a matter of fact, we could ask them to dance with us, which is an excellent way to get fit and also enjoy the exercise.","Would that cool to you too? I would totally agree! We could even invite them to dance with us, and it's a great way to get some abseil and have fun!","Would that cool to you too? I would totally agree! We could even invite them to dance right along with us, it's an awesome way to get some really good exercise and to have fun doing it!","Would that cool to you too :)? I would love to see them get up and dance with us, it's an excitittin and great exercise."
 Good.Let ' s go now . ,Good.Let's go for a good while.,Good. Let's go.,Good. Let's go.,Good. Let's go.,"GOOD DAY, GUYS SHOULD GO NOW.","GOOD DAY, GUYS SHOULD GET STARTED.",GOOD DAY!!! Let's go.
 All right . ,All right.,"All right, it's okay.",All the most suitable.,All the most suitable.,Ur d i.,Ur d i.,Ur d i.
