Sentence,Paraphrase,Formal_10,Formal_15,Formal_20,Informal_10,Informal_15,Informal_20
"The In-Laws movie isn't a holiday movie, but it's okay.","The In-Laws movie isn't a holiday movie, but it's not bad either.","The In-Laws movie isn't a holiday movie, but it's not bad either.","The In-Laws movie isn't a holiday movie, but it's not bad either.","The In-Laws movie isn't a holiday movie, but it's not bad either.","OKAY!! The In-Laws (yes, I'm a big LAWS star, but it's not tawoooooooo hot!!) The movie isn't geared up for Christmas yet.",OKAY MON if you're wondering - The In-Laws movie isn't a big deal for Christmas but it's ok.,OKAY MON if you're wondering - The In-Laws movie isn't a big deal for Christmas but it's ok.
I don't think that page gave me viruses.,I don't suspect that that page harbored any viruses.,I'm not convinced that that page gave me viruses.,I'm not convinced that that page gave me viruses.,I'm not convinced that that page gave me viruses.,virus off that page just don't think it got me wrong I don’t know that it gave me a. virus on my computer.,virus off that page just don''t think I got one.,"virus off that [url] pages, I don't think it got me down I didn''T know if I had."
"I watch it everyday, my favorite charachter is Inuasha.","I watch Inuasha every day, and I have a special place in my heart for the charachter that I love the most.","I watch Inuasha every day, and I have a special place in my heart for the charachter that I love the most.","I watch Inuasha every day, and I have a special place in my heart for the charachter that I love the most.","I watch Inuasha every day, and I have a special place in my heart for the charachter that I love the most.","I always rehearule my console to watch it, and I have a soft, easy-gonna go charachter in Inuasha.","Watching Inuasha everyday just made me love this charachter so much, I'm a big fan.","Watch[glddyk ] I love to watch it everyday, I always choose Inuasha for my top charachter."
Funbrain.com and runescape.com are great for family fun.,Funbrain.com and runescape.com are two websites that provide complete family entertainment options.,Funbrain.com and runescape.co are two websites that provide complete family entertainment options.,Funbrain.com and runescape.co are two websites that provide complete family entertainment options.,Funbrain.com and runescape.co are two websites that provide complete family entertainment options.,FUN braun.t otj.band & funbrain.co.uk?! Runescape.com - Runexscape: What fun family entertainment!,FUN braink.tn and runescape.com- if you can find the perfect family fun-and-takin' tidbits-to-try-on-anotherday.,"FUN braink.tnn and joel.heart. Funbrain.com& Runescape.Com: Family-pleasant, kid- & family-friendly web sites. I'm a big fan of running and games."
He was on the Late Night show with Conan O'Brien and seemed gay.,He appeared gay on the Late Night program with Conan O'Brien and appeared with Conan on the Late Night program.,He appeared gay while appearing on the Late Night show with Conan O'Brien and appeared to be on a show alongside Conn O’Brian.,He appeared gay while appearing on the Late Night show with Conan O'Brien and appeared to be on a show alongside Conn O’Brian.,He appeared gay while appearing on the Late Night show with Conan O'Brien and appeared to be on a show alongside Conn O’Brian.,Gay him on the same dj on lil'grin.,Gay him on U.S!! He was on the Late Night show with Conan O'Brien and appeared gay during the show.,"Gay him on U.K (late night programme) The Late Night programme, joined on the program by host Conan Oku'all with Conn O'Brien."
Mel Gibson is a strong believed of God.,Mel Gibson is a pious believer in God.,Mel Gibson is a pious believer in God.,Mel Gibson is a pious believer in God.,Mel Gibson is a pious believer in God.,"Pastor Justin Bieber's remonatical church in the music industry has left a great panned God in Mel Gibson, he just happened to be'very religious'.",Pastor Justin Bieber's remonatifs about the need to be feigned in church win the God award.,"Pastor Justin Bieber's remonatifs about the need to pray can only be heard by a select select elector from the U.S. The singer, Mel Gibson, is ardent about God'' s peace and tranquility."
My exams are not over yet because I still have one left.,"I still have one exam to clear, so my exams are not over yet.","I have one exam remaining, so I am not counting them.","I have one exam remaining, so I am not counting them.","I have one exam remaining, so I am not counting them.","One left on me just made me finish my exams, so my exam is still on my desk.",One left on my exams just means I still have 1 more to go even though my exam are over yet.,One left on my exams just means I still have 1 more to go even though myselves are finished already.
Sky Kids 3D: game over.,Sky Kids 3D game finished.,Sky Kids 3D: Game over.,Sky Kids 3D: Game over.,Sky Kids 3D: Game over.,Sky Kids 3D finished game.,Sky Kid 3D (game over: Sky Kids 3DS - Game Over!,Xbox topper (Win & he won't stop playing Sky Kids 3D in 3d.
His mom was a wafer so long.,A wafer that was so long that his mom was a walker.,A wafer that was so long that his mom was a walker.,A wafer that was so long that his mom was a walker.,A wafer that was so long that his mom was a walker.,Mum would cct a wafer so long and his dad.,Mum would cct a wafer so long and his dad.,Mum would cct a wafer so long and his dad.
I am entirely off or does that help.,Is that a positive thing or am I completely apathetic?,Is that entirely incorrect or does that benefit me?,Is that entirely incorrect or does that benefit me?,Is that entirely incorrect or does that benefit me?,Did that just make me completely shite (sneeze) or did that make you dribble/d*** out of my mouth?,Did that just make me completely sluggish (let me just ask joke a little again if that's any good at all!,Did that just make me completely sluggable or does that put a smile on my dormando's face or anything yet?
Her name is Jessica.,Jessica is the name of the girl we're referring to.,Jessica is the person who goes by that name.,Jessica is the person who goes by that name.,Jessica is the individual in question.,Jessica (yahyah)?,Jessica (yahyah)?,Jessica (yahyah!) 'I saw her on the big screen.
www.us.imdb.com is probably one of your best bets.,It's highly likely that www.us.imdb.com will be one of your top choices.,It's highly likely that www.us.imdb.com will be one of your top choices.,It's highly likely that www.us.imdb.com will be one of your top choices.,It's highly likely that www.us.imdb.com will be one of your top choices.,One bet you'd really fancy would be one to go www.us.imdb.com?,One would most most probably vouch your somber online when you're at www@us.imdb.com right now!,One would most most probably takshit www.us.imdb.com out there on your top bets too.
Titanic is my favorite movie and I cry when I see it.,Titanic is one of my most beloved movies and I can't help but cry when I see it.,Titanic is one of my most beloved movies and I can't help but cry when I see it.,Titanic is one of my most beloved movies and I can't help but cry when I see it.,Titanic is one of my most beloved movies and I can't help but cry when I see it.,"Titanic (old school school girl film, c.1900 in Manhattan theater at 8:00am eastern) I love Titans so much to watch that every time I see Titan cr crept back in my pants I cry.","Titanic (old school boy's old movie, I'm smitten, but I still can't stop giggling and I cry a little bit every time I see it, my heart tumps everytime I watch it.","Titanic (old school boy's old movie, I'm so happy): I can't wait to see it movie and cry."
It gives us something to do.,It gives us a certain amount of work to do.,It gives us a certain amount of work to do.,It gives us a certain amount of work to do.,It gives us a certain amount of work to do.,"We can if you'd just give a small thing'something to do' and it gives us.""",We now just hve a thing to do.,You just get something you can do and you have something to do' It gives us a. time.
"He is debonair, or perhaps more than that.","He is either degrading, or possibly more than that, in your opinion.","He is either degrading, or possibly more than that, in your opinion.","He is either degrading, or possibly more than that, in your opinion.","He is either degrading, or possibly more than that, in your opinion.",Could yo hold a less stout standing as he also feigns less than demi cync.,"Could that b**** be more or less debonadocrhin and then he'd be called that, well, hey, at least a little better.","Could that b**** be more or less delinquent then, I can say that."
Many people enjoy the MLB.,The MLB is a favorite among many people.,The MLB is a favorite among many people.,The MLB is a favorite among many people.,The MLB is a favorite among many people.,"Fan FanDub!, # MLB is a popular pas-one.","Fan FanDub!, # MLB is a popular pas-one game.","Fan FanDuEBUTch, MLB, U.S.A :., GHOST vs. MLB SURFELLI, H. B."
"I do not possess that model, but I am partial to my Creative Zen Micro","I do not have that model, but I have a piece of my Creative Zen Micro. I am partial to it.","I have no desire to own that model, but I do have a piece of my Creative Zen Micro.","I have no desire to own that model, but I do have a piece of my Creative Zen Micro.","I have no desire to own that model, but I do have a piece of my Creative Zen Micro.","Creative Centr Micro just won'  I do, but I own the same - I don''t have that model yet.","Creative Centr Micro just won'  I do, but I own the same, I don''t have that model, and I have a piece of it (which is my current Creative Zen Micro Micro-Picture series on my Flip Fling/Flippery Nano Flush Pin-Invented Set-Up-Perfect-Your-Electric-Band SetPurchaBlockTHE-Year-Credit/Dell","Creative Centr micro just won' ; I don't have that exact model (but I have a piece of it and I'm pretty stoked for my own EZ Zen Micro, but it's not like the ""Creative Zen Mom"" one on here anyways, I just kind of like it, it just works for me anyway anyway)!"
I viewed it and I believe it is a quality program.,I watched it and I think it's a good show.,I watched it recently and I have a feeling it is genuinely good.,I watched it recently and I have a feeling it is genuinely good.,I watched it recently and I have a feeling it is genuinely good.,"Just watched it and I can't wait to watch it, I know it's a good show.""",Just watched it and I can''t help but think it's a good show.,"Just saw it and I think it's good, I'll watch it anyway."""
She is a poor vocalist.,She is a terrible singer.,She is a terrible singer.,She is a terrible singer.,She is a terrible singer.,She excel[bleh doe]s a great song.,She excel[bleh doe]s a great song.,"She excel[bleh doe][sic] when it's so easy on her voice[voiced] to sing her songs with ease[/url]: oh well, just don't bother me if you can hear me speak my voice."
He is very attractive.,He is very good-looking.,He is very good-looking.,He is very good-looking.,He is very good-looking.,"Nice guy, i like him very much.","Nice big guy, i like him very much.","Nice big boy, ££."
"This is an example of something someone, who is age 20 and married, would do.","An example of something that someone would do is someone who is married and 20 years old, as if they were 20 years old.","An example of something that someone would do is they are married, aged 20, and this is an example.","An example of something that someone would do is a 20-year-old married individual, as shown in this example.","An example of something that someone would do is a 20-year-old married individual, as shown in this example.","Someone would, sm 220, who is in a marital relationship, did.","Someone would, sm 220, who is 20 y.o.s. and married, would do this.","Someone would, sm 220, who is 20 y.o.s. and married, would do this."
