Sentence,Formal_15
"The In-Laws movie isn't a holiday movie, but it's okay.","The In-Laws film isn't a holiday movie, but it's not bad either."
I don't think that page gave me viruses.,I've never encountered a virus on that page that I suspect gave me the wrong type of information.
"I watch it everyday, my favorite charachter is Inuasha.","I watch Inuasha every day, and I have a special place in my heart for the charachter that I love the most."
Funbrain.com and runescape.com are great for family fun.,Funbrain.com and runexcursion.net are two websites that combine family-oriented gaming and entertainment.
He was on the Late Night show with Conan O'Brien and seemed gay.,He appeared gay on the Late Night program with Conan O'Brien and appeared with him on Connobrien.
Mel Gibson is a strong believed of God.,Mel Gibson is a pious believer in God.
My exams are not over yet because I still have one left.,"I have one exam remaining, so I am not counting them."
Sky Kids 3D: game over.,Sky Kids in three dimensions: game in progress.
His mom was a wafer so long.,"A wafer that was too long for his mom, he was a wader."
I am entirely off or does that help.,Is that entirely incorrect or does that benefit me?
Her name is Jessica.,Jessica is the person who goes by that name.
www.us.imdb.com is probably one of your best bets.,It's highly likely that www.us.imdb.com will be one of your top choices.
Titanic is my favorite movie and I cry when I see it.,I tear up knowing that Titanic is my absolute favorite movie and I can't resist the urge to cry.
It gives us something to do.,It gives us a certain amount of work to do.
"He is debonair, or perhaps more than that.","He is either degrading, or possibly more than that, in your opinion."
Many people enjoy the MLB.,The MLB is a favorite among many people.
"I do not possess that model, but I am partial to my Creative Zen Micro","I have no desire to own that model, but I do have a piece of my Creative Zen Micro."
I viewed it and I believe it is a quality program.,I watched the show and I have a feeling it is dependable.
She is a poor vocalist.,She is a terrible singer.
He is very attractive.,He is very good-looking.
"This is an example of something someone, who is age 20 and married, would do.","An example of something that someone would do is someone who is married and 20 years old, as if they were 20 and still married."
What am I getting paid for doing this?,What is the amount of money I am receiving for doing this?
Listen to what the first person who answered said.,Pay attention to the words of the first respondent who gave a response.
"He could fly that plane, and I think that is funny.",I find it funny that he could take that plane.
"This was an interesting book, story, and movie.","The book, story, and movie were all captivating."
"Sir, it is not good for you.","Sir, it is not good for you, then, nothing is good."
"it is not open to interpretation, however you can take pleasure in it.","It cannot be interpreted, but you can enjoy it."
"I have not seen the television series, however I have seen the R.O.D","I have not viewed the television series, but I did see the R.O.D."
"When he urinates it is batman, which is funny because he loses weight in water.","When he stains to death, it is like playing batman, which is funny because a person loses weight in water."
I like to spend time by myself.,I enjoy being alone and spending time outside.
I guy walks into the bar.,The man walks into the bar.
"Downloading music from other computers is illegal, but you can do what you want.","Music can be downloaded illegally from other computers, but you have the option to listen to your own music."
Go to yahoo.com and click on images and type his name in the search box.,"To access yahoo.com, click on images and search for his name in the search box."
He and the other guys agreed on the final cut.,He and the other men came to a decision on the final cut.
We went to the other side.,We proceeded to the other side.
I didn't know HBO existed in the 1980s.,I had no knowledge of HBO in the 1980s.
"Yes, but not for episode IV.","Yes, but not for episode IV."
You can look at www.oprah.com.,Visit www.oprah.com to learn more.
"It is impolite to use all capital letters, Dead Fish Ollec the Fish Slayer.","The use of all capital letters is not acceptable, as demonstrated by Dead Fish Ollec the Fish Slayer, which is a prank."
Anyone would cry at these movies.,The movies are so emotional that they could make you cry.
What I like is that you let yourself go. (Hard!),I find the feeling of being able to let go and move on.
"Entertainment, that's what I want for my $8.00.","Entertainment, that's the amount I'll receive for my $8.00."
"That dude, skip him, he said he knows the lead singer, hes lying.","I'll take a look at that guy, he mentioned that if l was the lead singer, I know him, but omitted his name."
I was first out of all of us. Do I get the points?,"I was the initial one to arrive out of all of us, so can I claim the points?"
"Rest assured, though Showtime is talking about starting it, so it will be better.","Rest assured, it will be better, even though Showtime is discussing starting it."
it depends on how much money and drugs you have.,"The amount of money and drugs you have, as well as other factors, determines it."
The Bangles Hazy shade of Winter.,Bangles & The Hazy Colour Collection in The Banglers' Haze of Winter.
But the longest word in the dictionary is antinonestablishtarianism. I think that is how you spell it.,"I've heard you mean, antinonestablishtarianism is the longest word in the dictionary. How do you spell that?"
Probably at the Ricky Ticky Tavy store.,Probably at the Ricky Ticky Ty Tavy store.
The gang is all here; goodbye to all the rest!,The assemblage is all set; the rest is departed from the others; hello to the gang!
"The movies are Big, Sleepless In Seattle and I hope the Da Vinci Code.","The movies that are part of the package are Big, Sleepless In Seattle and I hope the Da Vinci Code."
You do not want to go to hell.,"You cannot go to hell, you cannot allow it."
The wild and sexy lady from Brazil is quite a hot woman!,"The Brazilian woman, who is known for her wild and sexy fashion, is quite a hot woman!"
Two are The Word Is Not Enough and Tomorrow Never Dies.,The two are The Word Is Not Enough and Tomorrow Never Dies.
"There were three of them, my daughter, my sister and one of my exes.","My daughter, my sister, and one of my exes were the three of them, which were my daughter and sister."
"Fort Minor is the name he is currently using, I do not believe he is working on any side projects.","Fort Minor is the name he is currently using, and I do not believe a side project is involved."
"I like a wide array of music, from all different generas.","I have a fondness for countless musical genres, spanning various genre genre."
That is the reason why I enjoy listening to dance and techno styles of music.,"Dance and techno music is my preferred genre, which is why I enjoy listening to it."
"I think they are okay, unfortunately they will have to buy their own tickets to the HOF like we did.","They seem to be doing fine, but unfortunately, they will have to purchase their own tickets to the HOF, which we did."
I have attempted it that way and it does not work.,I have tried doing it in that way and it does not work.
"It could be true, but I do not know for certain.","It could be accurate, but I am uncertain."
"I cannot reach my own elbow to lick it, but I can reach my Mother's.","I am unable to lick my own elbow, but I can reach my Mother's."
I ask such riddles so that I can test other's minds more than my own.,I ask such riddles because I am able to challenge others' thinking and gain an edge over myself.
"Perhaps you could try rephrasing your question, then re-posting it and you may get a better answer.",I've read that rewording your question and then submitting it again could lead to a better answer.
Take a pass on playing and instead invest time viewing the New Years Special.,"Instead of just playing, make the most of your viewing time by watching the New Years Special."
"My preference is As the World Turns on Slim Shady LP, but anything he produced after The Eminem Show was lacking in quality.","Slim Shady's As the World Turns album is my preferred choice, but any subsequent work after The Eminem Show was subpar."
"I am including a list of items you can get free of charge, as well as a list of things I have already obtained for free.","I am including a list of free items you can get, as well as dozens of things I have already earned for free."
First Davey Jones and then it would be Ann Murray.,"Ann Murray, First Davey Jones and subsequently First Ann Dave."
Very correct to say that he is.,It's entirely accurate to say that he is.
She's still a slut.,She's still a compromising woman.
"On day three, I finally received the movie they sent me.",The movie they had sent me was finally delivered on the third day.
Ha ha. Got to give credit were credit is due.,I'll give credit where credit is due.
Favorites: My Chemical Romance or Avenge Sevenfold,My Chemical Romance or Avenge Sevenfold?
"For sure, 9pm was very hard.",It's a given that 9pm was incredibly difficult.
I think she is unvirtuous.,I consider her to be unkind.
On the third day I received the movie they sent.,The movie was sent to me on the third day and I received it on my third try.
You have to give credit when it is earned.,Crediting yourself when it counts is important.
Do you prefer Avenge Sevenfold or My Chemical Romance?,"Which one do you think is the better option, Avenge Sevenfold or My Chemical Romance?"
9 pm was a difficult time.,The time of 9 pm was a challenging situation.
Her intention was that he should remove the flags.,Her intention was that he should take the flags off.
"In my opinion, the band is quite enjoyable.",I think the band is quite enjoyable as a band.
How creative do you think people were in the 1960s?,To what extent did people exhibit creativity during the 1960s?
"I prefer to use it for my music, movies, and books.","I use my music, movies, and books with it."
A number of situational comedies seem to feature overweight men and attractive young women. One such example is King of Queens.,"Situational comedy movies that showcase overweight men and attractive young women, such as King of Queens, may appear in many productions."
She inferred that she wanted him to get rid of the flags.,She thought she wanted him to remove the flags.
I think they're still a good band.,"Despite everything, I believe they're still a competent band."
How creative do you think they were? It was the 60's.,Were you of the opinion that they were very creative in the 60's?
"I always use that app for music, movies and books.","I rely on that application for music, movies, and books."
A lot of sitcoms recently with chubby guys and hot girls. Like:King of Queens.,"There have been many sitcoms lately about chubby guys and hot girls, like the ""King of Queens."""
You should consider that 99 cents per person times the number of people sending money results in a large amound of money.,"Considering that 99 cents per person multiplied by the number of people sending money equates to a massive amount of money, you may be surprised at how much money is generated."
I think that Titanic cost around 300 million dollars.,I estimate the Titanic's cost was worth about 300 million dollars.
"An infant, a child or adult, and an elderly person with a cane","An infant, a child or adult, and an elderly person with cot and cane."
You should simply make people laugh and be yourself.,You simply need to be yourself and make people laugh.
Falling Up is a bit similar to Linkin Park.,Falling Up is somewhat reminiscent of Linkin Park.
They are coming out with many more games.,Many more games are coming out from them.
That was more information than you asked for.,More information than you could ask for.
Who cares about what clothes that seventeen magazine says are trendy.,Seventeen magazine suggests that the fashion industry is not interested in the trendy clothes of its readers.
The man who sings for The Cure.,The singer of The Cure.
"Well, a geek, to me, would have to be someone that I could ask a question.","To be a geek, I mean, someone that I could ask if I wanted to."
His last name is Japanese.,His surname is of Japanese origin.
"It doesn't, but the video was funny.","The video wasn't the intended outcome, but it was still funny."
You should use a software called media monkey.,Media Monkey software is a must-have software for you to use.
They can't be too new after three months.,"After three months, they can't be too fresh."
The one in my living room.,The one in my living room.
"They are the Knights who say ""Knee"". Later in the movie they become the Knights who say ""Ichy ichy potanga"".","The Knights in the movie are the ones who say ""Knee"" and later become the Knight's who says ""Ichy ichy potanga"" in later scenes."
Joey although I do not like his new show. It would be better if he was not the only character.,"I have mixed feelings about Joey's new show (I don't like it, but I think he'll be cool). It would be nice if a different character was included in the cast."
You will not need to look up 'revolver' if you are as old as I am.,'Revolver' is not a term you will need to look up if you are as old as me.
Ebay is my first suggestion but I also have another.,"Either you buy on ebay or I have a different idea that I recommend, and I'm the first to admit it."
They won because they cheated.,They were victorious because of cheating.
"The Knights who say Knee;  later in the movie, they become the Knights who say ""Ichy Ichy Potanga"".","The Knights who say Knee; later in the movie, they become the Knight's that says ""Ichy Ichy Potanga""."
Joey though I didn't like his new show. I guess it's better if it's not just him.,"I didn't enjoy Joey's new show, but I found it unappealing. I guess it'll be more awkward if it wasn'T just Joe."
"Revolver - If you're old like me, you don't need to look it up.",Revolver - It's not necessary to search for it if you're old like me.
"I have two suggestions, the first is Ebay!","I'll give Ebate as my first suggestion, first of all the things I know on Ebay!"
"They all cheated, and all worn out.",They all resorted to cheating and exhaustion.
"Try everything, and perhaps Cepacol as well.","Give Cepacol a try, and you might as well try anything you like."
She mainly played the leg part.,She primarily acted on her legs.
I can almost still hear Moe's voice asking something.,"Moe's voice is almost too clear for me to hear him asking, and I can hear his question almost immediately."
"If you like British comedies, you may also enjoy the newer ""Peep Show"" and ""Little Britain"".","British comedians who enjoy shows like ""Peep Show"" and ""Little Britain"" may also enjoy ""Weekend"", a comedy series that airs in cinemas and is based on the BBC's BBC Three."
"For a general manager, I think they could find someone better.",I believe a general manager could benefit from having fewer resources and more time to invest in someone more capable.
"My mom wants a gay friend in the morning, but I don't know why.","I've been waking up with the realization that my mom wants a gay friend every morning, but I don't understand why."
It depends on what room you are putting it in.,The room in which you are putting it depends on the space you intend to use.
"I love that station too. Go to exradio.com, then go to what we play and click on that channel.","I like this station as well. Exradio.com, then browse through what we play and click on that channel."
I just got out of an argument.,I recently resolved the issue after a disagreement.
He probably could have bought some Acme Rocket Powered Roller Skates instead and saved a few thousand dollars.,He could have easily saved a few thousand dollars by purchasing Acme Rocket Powered Roller Skates instead.
I am a day walker.,Day walking is a part of my exercise routine.
Rap groups do not usually get far.,"Rap groups typically do not reach far, despite being rehearsed frequently."
I would advise you to go to  the site that I mentioned.,I would suggest you to go to the site that I mentioned.
One of my favorite songs by one of my favorite bands.,A favorite tune from one of my favorite bands and one or two of all time.
His income is too high in my opinion.,I believe his income is too high and he is not entitled to it.
"Yes, I believe this ti be the best answer.",I think this is the most suitable answer.
"Happy Holidays, and consume many cookies.","Happy New Year, and enjoy a large quantity of cookies."
"Go to TV.com. Believe me, this site has information on every show that has ever been created.","TV.com is a great source of information on all the shows that have been produced, and I guarantee it, as this site has all kinds of content."
They are still making profit off of the products that they have not fully released.,"Despite not releasing their products completely, they are still generating profits from them."
"Illegal from Oral Fixation Vol. if you want something on English, or Cd.",Illegal from oral fixation Vol.
"I love the movie ""Romeo and Juliet"".","""It's a wonderful movie...Romeo and Juliet""."
Nothing is free so you should put it on your Christmas list.,You can add nothing free on your Christmas list.
Remember to sally forth.,Remember not to rush.
Anyone who guessed 36 are correct.,Those who correctly counted 36 are correct.
Mine is no longer in working order but I have plans to replace it.,Mine is not functioning anymore but I have a plan to replace it.
"It is I, and it resembles cheese.","Like a piece of cheese, it's called I."
Which is true for all of Rush.,"All of Rush, that's the case."
"I get pop up block notifications from most websites, yahoo included.","I receive block notifications in the form of pop up blocks on most websites, including Yahoo, despite receiving only pop-up block-notifications from certain sites."
"It is sharing making it legal, if you were to download it from the website that would be breaking the law.","The website is being shared, making it legal, but downloading it from the site would be illegal."
I do not know. I am sorry.,I am not aware. I apologize.
I am quite excited for the new 24.,I am very much looking ahead to the new 24 and I can't wait any longer.
People have told me many times that I look similar to Ringo Starr.,"I have been told by many people that I resemble Ringo Starr, a character they may have even gone to see."
"Additionally, many phrases have originated there, including ""No soup for you.""","Moreover, there are several idioms that have been created there, such as ""No soup for you."""
She thought that it was pretty good.,She said that it was pretty good.
"Oh my Miranda, I need a bra. So that Ethan Craft will like me more than that slut Kate.","Miranda, I need a bra for my sassy Kate. I'm hoping that Ethan Craft will like me more than he does."
I don't know. I just heard it somewhere.,I've heard that phrase before but I don't recall.
"No, it's all in the timing. What the audience is looking for.","The audience's preference is all about timing, not quantity."
Lil' Jon and the Eastside Boys get low.,Lil' Jon and the Eastside Boys go bonkers.
I'm jealous you got to hear from anyone!,"I'm happy to hear from you, but I don't think you got to know anyone!"
I think that if I wear a bra then Ethan Craft will like me more than Kate.,"Wearing a bra could lead to gaining more affection from Ethan Craft than Kate, as I believe I will be favored by him."
"I do not know, I just heard about it somewhere.","I have heard about it, I don't know, but I heard something about this recently."
"It is all in the timing, and what the audience is looking for.",The audience's preference is determined by the timing and location.
Lil' Jon and the Eastside Boyz are great.,Lil' Jon and the Eastside Boyz are great.
I am jealous that you got to hear them.,I am envious that you were able to hear them.
"For all his intelligence, the professor was unable to make a simple patch for the boat.","The professor's intellect was not the only factor in his inability to create a patch for the boat, despite his intelligence."
"If Bruce Wayne was to take steroids, he would own Spiderman.","In the event that Bruce Wayne was to undergo steroid treatment, he would own Spiderman."
Donnie Darko and American Psycho are two of my favorites.,Donnie Darko and American Psycho are two of my favorite movies to watch.
"The character Roger on ""American Dad"" makes me wonder.","Roger, the character in ""American Dad,"" makes me ponder the role."
A lot of bad things happened.,Many unfortunate events occurred.
His first single was call me a mack.,Calling me a. m. was his first single.
Dimien Rice is about 5'8.,Dimien Rice's height is around 5'8.
