Sentence,Informal_15
"Say , Jim , how about going for a few beers after dinner ? ",Jim - I need to go out for a beer or two after dinner...
 You know that is tempting but is really not good for our fitness . ,"I know it sounds tempting, but it's actually not a good ol' fitness ploy."
 What do you mean ? It will help us to relax . ,"I don't get it, but it will be really good for our mental calm... Thank you!"
 Do you really think so ? I don't . It will just make us fat and act silly . Remember last time ? ,"I don't think so - it will make us fat and dumb... Do you really think that? I really do. It will just make everyone fat, it's like laughing and having a shitbag!"
 I guess you are right.But what shall we do ? I don't feel like sitting at home . ,"I guess you are right...But I don't feel like sitting at home anymore. I'm not even able to go outside either :P"""
 I suggest a walk over to the gym where we can play singsong and meet some of our friends . ,Shake off any long drives or short hauls to go to the gym and have some singsong and meet up with some friends after work for a while...
 That's a good idea . I hear Mary and Sally often go there to play pingpong.Perhaps we can make a foursome with them . ,I reckon it would be a good idea to try that... Mary and Sally go there often to play ping pong and I think we could all join in and have 'a foursome'.
" Sounds great to me ! If they are willing , we could ask them to go dancing with us.That is excellent exercise and fun , too . ","I just thought it was awesome :)! Whenever they want, we could ask them to dance with us, which is a great way to get exercise and just plain fun!"
 Good.Let ' s go now . ,"Gut done, let me know"
 All right . ,OK...
Can you do push-ups ? ,I'm not a push-up but are you gonna do push ups?
" Of course I can . It's a piece of cake ! Believe it or not , I can do 30 push-ups a minute . ","I can actually do 30 push-ups in a minute, and I'm pretty sure I could do that - it's incredibly easy."
 Really ? I think that's impossible ! ,I don't even know if you can do that - I can'T!
 You mean 30 push-ups ? ,"So you mean 30 push-ups per minute, right?"
 Yeah ! ,Ok!
" It's easy . If you do exercise everyday , you can make it , too . ","Easy - Just Do It!! Daily exercise can be made easy, too if you do it daily.."
Can you study with the radio on ? ,"I'm gonna listen to the radio on, can you do it for me?"
" No , I listen to background music . ","No way, I listen to music in the background..."
 What is the difference ? ,SupposING THE DEFENCE?
 The radio has too many comerials . ,radio has too many comerials.
" That's true , but then you have to buy a record player . ",yes that's correct but then you have to buy a record player also.
Are you all right ? ,"Ok if I may ask, am I right?"
 I will be all right soon . I was terrified when I watched them fall from the wire . ,I was appalled to finally be ok - watching them come down from the wire.
 Don't worry.He is an acrobat 。 ,Dont worry.He is an acrobat too.
 I see . ,I get it...
"Hey John , nice skates . Are they new ? ","Hey guys, I noticed you mentioned skateboarding, do you mean they just bought new skates or something similar a while back?"
" Yeah , I just got them . I started playing ice hockey in a community league . So , I finally got myself new skates . ",Ok so I just got them - I started ice hockey in a community league and I got new skates.
