Sentence,Formal_20
"The In-Laws movie isn't a holiday movie, but it's okay.","Although the film is not geared towards Christmas, The In-Laws is acceptable."
I don't think that page gave me viruses.,"Although, I believe I was safe from viruses on that page."
"I watch it everyday, my favorite charachter is Inuasha.","Every day, I view it, and my preferred character is Inuasha."
Funbrain.com and runescape.com are great for family fun.,"Both, such as the website, Funbrain.com, and runescape.org, are entertaining options for families."
He was on the Late Night show with Conan O'Brien and seemed gay.,"While performing on the Late Night program with actor and comedian Sean O'Reilly, he appeared gay."
Mel Gibson is a strong believed of God.,"As a beliefer, Mel Gibson is surrounded by God."
My exams are not over yet because I still have one left.,"Although, there is still one of my exams, and my examinations are not finished yet."
Sky Kids 3D: game over.,Game conclusion: In Sky Kids 3D.
His mom was a wafer so long.,"Although he lived by a large mother who was unable to eat, his mother was known for her long experience as 'a giant wheat cooker'."
I am entirely off or does that help.,Do the circumstances or am I entirely abnormal?
Her name is Jessica.,Jessica.
www.us.imdb.com is probably one of your best bets.,One of the highest probability is that you will find www.us.imdb.com to be one of your favorites.
Titanic is my favorite movie and I cry when I see it.,"Although, as time passes, I can't watch Titanic, which, despite all things, causes me to cry."
It gives us something to do.,It provides us with a task to perform.
"He is debonair, or perhaps more than that.","Perhaps, or more, than exemplary, he is."
Many people enjoy the MLB.,Many individuals have a passion for the MLB.
"I do not possess that model, but I am partial to my Creative Zen Micro","Although, unfortunately, I do not have that model, but I have a piece of my Creative Zen Micro."
I viewed it and I believe it is a quality program.,"After viewing it, I am convinced that it is a worthwhile program."
She is a poor vocalist.,"Unfortunately, the singer is not very good."
He is very attractive.,Very attractive.’ He is very handsome.
"This is an example of something someone, who is age 20 and married, would do.","As a demonstration of something someone, who is married and aged 20, could do, as this example."
What am I getting paid for doing this?,What is the amount of money I earn from this?
Listen to what the first person who answered said.,Do not disregard the words of the first person who responded.
"He could fly that plane, and I think that is funny.",It appears to me as funny that he could fly that plane.
"This was an interesting book, story, and movie.","The novel, narrative, and movie were all captivating."
"Sir, it is not good for you.","It is detrimental to you, sage and stern, Sir."
"it is not open to interpretation, however you can take pleasure in it.","Although, it is not open to interpretation, but you can enjoy it."
"I have not seen the television series, however I have seen the R.O.D","Although the television series is not on my radar, I have watched the R.O.D."
"When he urinates it is batman, which is funny because he loses weight in water.","As he has been eliminating water from his body, it is funny that when a man urinates, 'it's as if Batman', which is accompanied by the funny part because - surprisingly, there'll be weight loss."
I like to spend time by myself.,"Doing the task by myself, I enjoy spending time."
I guy walks into the bar.,"As a result, he walks into the bar."
"Downloading music from other computers is illegal, but you can do what you want.","Although downloading music from other computers is illegal, you have the option to listen to songs from your own computer."
Go to yahoo.com and click on images and type his name in the search box.,Search for keywords on yahoo.com by selecting images and typing his name in the search box while browsing through gmail.
He and the other guys agreed on the final cut.,"The men and subsequently, he and everyone else, reached."
We went to the other side.,We proceeded towards the other side.
I didn't know HBO existed in the 1980s.,Did the United States have access to HBO in the 1980s?
"Yes, but not for episode IV.","Correct, but only applicable to episode IV."
You can look at www.oprah.com.,Accessible at www.Oprah.com.
"It is impolite to use all capital letters, Dead Fish Ollec the Fish Slayer.","All capital letters are unacceptable, as demonstrated by Dead Fish Ollec the Fish Slayer, which means it is rude to use them in this manner."
Anyone would cry at these movies.,The films are capable of making you cry.
What I like is that you let yourself go. (Hard!),"Allowing yourself to move on, which is what I enjoy about it. (It's difficult!)"
"Entertainment, that's what I want for my $8.00.","Entertainment, that is what I need for my $8.00."
"That dude, skip him, he said he knows the lead singer, hes lying.","Do not overlook this man, he claimed to know the lead singer, and if unable to prove it, it's out of character."
I was first out of all of us. Do I get the points?,"As the first person of age, was I also the most superior among all of us? Am I entitled to receive the points?"
"Rest assured, though Showtime is talking about starting it, so it will be better.","Although Showtime is discussing it, it will be better if you can rest assured that it starts now."
it depends on how much money and drugs you have.,"However, if drugs or money are included, it'."
The Bangles Hazy shade of Winter.,"The colours of Winter are a favourite choice of The Bangles' version, The."
But the longest word in the dictionary is antinonestablishtarianism. I think that is how you spell it.,"Could you clarify the spelling of """"which is the longest word in the dictionary by saying that it is antinonestablishtarianism?"""
Probably at the Ricky Ticky Tavy store.,Perhaps at the location of the Ricky Ticky Gray shop.
The gang is all here; goodbye to all the rest!,All is well; the gang is here; departed from everyone else!
"The movies are Big, Sleepless In Seattle and I hope the Da Vinci Code.","The following are the movies: Big, Sleepless In Seattle and I hope the DaVinci Code."
You do not want to go to hell.,It is not possible to enter hell.
The wild and sexy lady from Brazil is quite a hot woman!,"The Brazilian woman, recognized as a stunning and sexy woman of dazzling beauty, is quite attractive!"
Two are The Word Is Not Enough and Tomorrow Never Dies.,Two of the presentations are The Word Is Not Enough and Tomorrow Never Dies.
"There were three of them, my daughter, my sister and one of my exes.","Three individuals, including my daughter, my sister, and one of my exes, were present."
"Fort Minor is the name he is currently using, I do not believe he is working on any side projects.","Although Fort Minor is the name he has chosen for himself, I am not convinced that a side project is involved."
"I like a wide array of music, from all different generas.","As a person, music is sonic, and I enjoy listening to songs from all genres."
That is the reason why I enjoy listening to dance and techno styles of music.,"Therefore, I find dance and techno music to be a favorite genre to listen to, which is why I enjoy dancing to it."
"I think they are okay, unfortunately they will have to buy their own tickets to the HOF like we did.","Although, they are, it seems, fine with them, but unfortunately, as we did, their ticket purchases will have to proceed independently to the HOF."
I have attempted it that way and it does not work.,"Although unsuccessful, I have attempted to do it in that manner and it has been unsuccessful."
"It could be true, but I do not know for certain.","Could the statement be accurate, or it could be, but I am uncertain."
"I cannot reach my own elbow to lick it, but I can reach my Mother's.","Although, unable to lick (I) my elbow, I can reach out to touch it on my Mother's."
I ask such riddles so that I can test other's minds more than my own.,"As such, I ask such riddies to test others' knowledge more thoroughly than myself."
"Perhaps you could try rephrasing your question, then re-posting it and you may get a better answer.",Could you improve the answer by modifying the wording of your question and then rewording it to answer the question better?
Take a pass on playing and instead invest time viewing the New Years Special.,"Instead of continuing, enjoy the New Year's Special and leave the game to others."
"My preference is As the World Turns on Slim Shady LP, but anything he produced after The Eminem Show was lacking in quality.","As the World Turns, as a preference, is the best album from the label on Slim Shady, but as such, nothing produced by him after The Eminem Show was good enough."
"I am including a list of items you can get free of charge, as well as a list of things I have already obtained for free.","Below is a list of items that are available for free, as well as dozens of things I have obtained for nothing."
First Davey Jones and then it would be Ann Murray.,"Initially, First Davey Jones and subsequently, Ann Murray."
Very correct to say that he is.,Very accurate to indicate that he is.
She's still a slut.,"Although, unfortunately, she remains a. slob."
"On day three, I finally received the movie they sent me.","However, on the third day, I received the movie they had sent me."
Ha ha. Got to give credit were credit is due.,Could you acknowledge the credit that's due?
Favorites: My Chemical Romance or Avenge Sevenfold,Would You Like to Have a Mixed Relationship with My Chemical Romance?
"For sure, 9pm was very hard.","Unfortunately, 9pm was characterized by a very challenging evening."
I think she is unvirtuous.,"As a person, perhaps she is considered unpleasant."
On the third day I received the movie they sent.,"Within three days, I received the movie that was sent to me."
You have to give credit when it is earned.,"However, if the recognition you give it, then you must acknowledge it."
Do you prefer Avenge Sevenfold or My Chemical Romance?,Would You Choose Avenge Sevenfold or My Chemical Romance?
9 pm was a difficult time.,"It proved to be a trial period, as 9 pm arrived."
Her intention was that he should remove the flags.,"Perhaps, or, to remove the flags, she intended."
"In my opinion, the band is quite enjoyable.","As for the entire group, I find them quite enjoyable."
How creative do you think people were in the 1960s?,Could you provide insight into the level of creativity prevalent among people in the 1960s?
"I prefer to use it for my music, movies, and books.","For various reasons, including music, movies, and books, I prefer to use it."
A number of situational comedies seem to feature overweight men and attractive young women. One such example is King of Queens.,"Many situational comedy films, such as King of Queens, appear to showcase overweight men and alluring teens."
She inferred that she wanted him to get rid of the flags.,"According to the woman, 'If unable to locate the flags, I would have wanted him to remove them."
I think they're still a good band.,"Although, as I understand it, they are still a quality band."
How creative do you think they were? It was the 60's.,Could you quantify the creativity displayed by people in the 60's?
"I always use that app for music, movies and books.","For music, films and books, that application is frequently used by me."
A lot of sitcoms recently with chubby guys and hot girls. Like:King of Queens.,"Recently, there have been many sitcoms featuring overweight characters and attractive women, such as:The Queen's Prince."
You should consider that 99 cents per person times the number of people sending money results in a large amound of money.,"Given that a person can send 99 cents/hours, and the amount of money sent will result in tens of thousands of dollars."
I think that Titanic cost around 300 million dollars.,"The value of the Titanic, in my opinion, was approximately 300 million dollars."
"An infant, a child or adult, and an elderly person with a cane","An infant, whereas a child, and also, one adult, cane walking, live with."
You should simply make people laugh and be yourself.,All individuals should do is make fun of yourself and laugh.
Falling Up is a bit similar to Linkin Park.,"Although, the record company is not entirely different, as Falling Up is a bit more similar to Linkin Park."
They are coming out with many more games.,"Many others are arriving, and they are coming out with many more games."
That was more information than you asked for.,Thank you for your time.
Who cares about what clothes that seventeen magazine says are trendy.,"Seventeen magazine states that ""What does the term ""formal"" clothing mean, but ""Who is interested""?"
The man who sings for The Cure.,The individual who performs for The Cure.
"Well, a geek, to me, would have to be someone that I could ask a question.","Would the description of a person as 'a known individual' be that of someone who, to me, would mean to be classified as something that one questions?"
His last name is Japanese.,His birth name is Japanese.
"It doesn't, but the video was funny.","Although, the video may not have been entirely humorous."
You should use a software called media monkey.,"Media-based software, such as software like media monkey, is necessary for its use."
They can't be too new after three months.,"Within three months, they may cease to be too fresh."
The one in my living room.,The individual in my living room.
"They are the Knights who say ""Knee"". Later in the movie they become the Knights who say ""Ichy ichy potanga"".","The characters change from the Knights who say ""The phrase - ''""', to the following Knight's characters who change into ""' "", "" "", "") based on the phrase """""" and ""... in the movie..."" ""I hereby say to you : "" "", and to your memory the change of Knight """", from which scene ""1,2/3"" becomes ""..."" to ""My..."
Joey although I do not like his new show. It would be better if he was not the only character.,"Although, unfortunately, I am not fond of Joey's new show. It would be nice if he was not the only character."
You will not need to look up 'revolver' if you are as old as I am.,"For individuals as old as me, searching for'revolver' is unnecessary."
Ebay is my first suggestion but I also have another.,"Although, this is the most basic idea that I have in mind: Ebay, which is available on ebay."
They won because they cheated.,"Due to fraud, they emerged triumphant."
"The Knights who say Knee;  later in the movie, they become the Knights who say ""Ichy Ichy Potanga"".","Later in the motion picture, the Knights who say ""The Knight"" change into ""Iichy ""Ichy"" of ""P""; or, The Knight and the saying: namely, ""the Knight's saying"" or ""Let"" -- a phrase containing the words """" / ""which means, "") in English."
Joey though I didn't like his new show. I guess it's better if it's not just him.,"Although, Joey, what happened between the two of you enjoyed not liking the show, and I thought Joe was enjoying his new show. It's a shame because if it is not Joe and it'll be Joe, it will be better he is."
"Revolver - If you're old like me, you don't need to look it up.","The elderly gentleman, like myself, may find it easy to locate the Revolver."
"I have two suggestions, the first is Ebay!","Should I consider purchasing from Ebay? First, I need advice!"
"They all cheated, and all worn out.",All of the individuals were infidelity and exhausted.
"Try everything, and perhaps Cepacol as well.","Given the opportunity, make sure that you sample everything, and perhaps try Cepacol."
She mainly played the leg part.,"Most of the parts, however, were performed by her on the legs."
I can almost still hear Moe's voice asking something.,"Although Moe speaks, I can hear his request in a way that is reminiscent of he was asking for something."
"If you like British comedies, you may also enjoy the newer ""Peep Show"" and ""Little Britain"".","British individuals who are fans of British comedy may also enjoy ""Peep Show"" and ""Little Britain""."
"For a general manager, I think they could find someone better.","Perhaps, as a general manager, someone additional could be hired more effectively."
"My mom wants a gay friend in the morning, but I don't know why.","Whenever any of my mothers encounter a friend of mine who is gay, I realize that she may have wished for one."
It depends on what room you are putting it in.,The placement of it depends on the room in which it is installed.
"I love that station too. Go to exradio.com, then go to what we play and click on that channel.","It appears to be a station I enjoy too. You can visit exradio.com, then browse through our playlist, and select that station and click on that channel."
I just got out of an argument.,"Following an argument, I was able to move on."
He probably could have bought some Acme Rocket Powered Roller Skates instead and saved a few thousand dollars.,"Perhaps, as a substitute, he could have obtained some Acme Rocket Powered Roller skates and saved ten thousand dollars."
I am a day walker.,"As a person, exercise is necessary for walking around the house."
Rap groups do not usually get far.,Although atypical rap groups seldom succeed.
I would advise you to go to  the site that I mentioned.,"Would the recommendation be to visit the site mentioned above, which I would suggest."
One of my favorite songs by one of my favorite bands.,One of the finest pieces produced by one of my preferred bands.
His income is too high in my opinion.,"His income is excessive, in my opinion, and he is not wealthy enough."
"Yes, I believe this ti be the best answer.","As a candidate, I think that the answer that makes sense is this."
"Happy Holidays, and consume many cookies.","Many cookies, and wish you all a joyous holiday season."
"Go to TV.com. Believe me, this site has information on every show that has ever been created.","For example, if possible, check out TV.com. TV: This site contains all the shows that have been produced throughout history."
They are still making profit off of the products that they have not fully released.,"Although, they have not fully released all of their products, but they are still earning profit from them."
"Illegal from Oral Fixation Vol. if you want something on English, or Cd.","For English, or."
"I love the movie ""Romeo and Juliet"".","""The view that contains traces of ""Romeo and Juliet"" is one I can relate to."""
Nothing is free so you should put it on your Christmas list.,"Without reservation, you may find that it's free and you should include it in your Christmas list."
Remember to sally forth.,It helps if 'Toallyze.' Please.
Anyone who guessed 36 are correct.,Could the accuracy of 36's answer be confirmed by anyone.
Mine is no longer in working order but I have plans to replace it.,"Although, unfortunately, mine is not functional, and I have plans to replace mine."
"It is I, and it resembles cheese.","It is I, and it appears like a piece of cheese."
Which is true for all of Rush.,All of the individuals in Rush are in agreement.
"I get pop up block notifications from most websites, yahoo included.","Most of the websites, including Yahoo, provide me with a notification that I cannot access because of pop up block notifications."
"It is sharing making it legal, if you were to download it from the website that would be breaking the law.","The sharing of information on the internet makes it legal, but downloading it from unauthorized sources on this website could result in breaking the law."
I do not know. I am sorry.,Thank you.
I am quite excited for the new 24.,The anticipation for new 24 is quite overwhelming.
People have told me many times that I look similar to Ringo Starr.,"Many individuals have commented on my appearance, stating that I resemble Ringo Starr."
"Additionally, many phrases have originated there, including ""No soup for you.""","Furthermore, there are numerous expressions that originated there, such as ""No soup for you."""
She thought that it was pretty good.,"According to the feeling, it was quite satisfactory."
"Oh my Miranda, I need a bra. So that Ethan Craft will like me more than that slut Kate.",Would the sex preference of Ethan Craft be different from the one Miranda has? 3 More.
I don't know. I just heard it somewhere.,"Could you clarify what you mean by ""I have heard""?"
"No, it's all in the timing. What the audience is looking for.","The audience is seeking something. It's all about timing. No, really."
Lil' Jon and the Eastside Boys get low.,Lil' Jon and the entire Eastside Duo depart.
I'm jealous you got to hear from anyone!,Would the knowledge you received from someone be as valuable to me?
I think that if I wear a bra then Ethan Craft will like me more than Kate.,Would the addition of a bra make 'The impression' that Ethan Craft will like me more than Kate?
"I do not know, I just heard about it somewhere.",Could you clarify what happened? I have heard about it from a friend's blog.
"It is all in the timing, and what the audience is looking for.",The audience's preference is determined by the timing and location.
Lil' Jon and the Eastside Boyz are great.,Lil' Jon and the Eastern area of California.
I am jealous that you got to hear them.,It is incredibly nice that you got a chance to hear them.
"For all his intelligence, the professor was unable to make a simple patch for the boat.","Although the professor was intelligent, he was incapable of creating a basic patch for the boat, which piques his interest."
"If Bruce Wayne was to take steroids, he would own Spiderman.",Would Bruce Wayne possess Spiderman if he were taking steroids.
Donnie Darko and American Psycho are two of my favorites.,Donnie DiMarco and American Diatribe are the titles that have earned me referred to as one of my favorites.
"The character Roger on ""American Dad"" makes me wonder.","Roger on ""American of the Do-it-Your-I. We."" The character portrays a question."
A lot of bad things happened.,Many instances of unfortunate events occurred.
His first single was call me a mack.,His introduction to a group was called me.
Dimien Rice is about 5'8.,"Height of measurement: Rice stands at approximately 5'8"" in height."
Fun with Dick and Jane is a remake.,The adaptation of Dick and Jane's play is a remake.
I like to eat corn on the cob.,"Whenever possible, I have a preference for corn on the stalk."
Go to 106 and park when he is there.,"After entering 106, halt traffic and park when he arrives."
All I can say is it's better not to talk about 50 Cents and asses.,All of which is to emphasize that it's best to avoid discussing 50 Cents and asses.
How about the fact that Lisa has a boyfriend?,Could you clarify if Lisa has a partner?
"I believe he's Christian, maybe Jewish.",Could imply that he's affiliated with Christianity or Jewish religion?
"He's correct, it's a fantastic song.","It's wonderful, if only because — ” that is what..” Quite a great song."
I'm giving 71 out of 100.,Would the accuracy of my score be guaranteed with a score of 71.
How much do you love gas? (give me more gas!),Do gas satisfy your hunger? (Please provide more gas!)
"For Halloween when I was little, I was him.","As a juvenile, he and I transformed into him on Halloween."
I prefer all the old films.,All of the past films are preferred by me.
"Seinfield, That 70's Show, and War at Home.","Throughout the years, I have enjoyed a variety of artists, including X Factor, Psychology of Everything, and Logic."
That new song is just for the Greatest Hits.,"The addition of a new song is exclusively for the album's soundtrack, ""The Greatest Hits""."
Basket: slam dunk for a grand protagonist.,Basket. Whether the objective is to score a game-winning goal.
"I'm not sure, but maybe that may help someone else.","Although, it appears, that could be beneficial for someone else."
No information available yet. Go to pinoisepop.com for previous festival information.,Information about the upcoming festival is not available. Visit pinoisepop.com to access previous years' dates.
The bouncer from the pub next door...,"The nearby masticator, a bar attendant, entered the pub."
Jerry is definitely a male. Because I've seen a cartoon where JERRY falls in love with a female.,"Although Jerry identified as a man, he is definitely portrayed as gay. This is because I've seen Jeremy develop feelings for ill girls in NBC."
"No, not at all. It is not good for your health.","It is not beneficial for your health, no, not in the slightest."
"No matter where you are, when a 90's song comes on, people always respond with the word, ""Oh.""","People respond with the phrase, ""What 'hol "" whenever someone sings a song from the 90s, regardless of where, and."
You are telling me that there are people out in the world who do not like them?,Are you aware that there are individuals in this world who have a hatred towards you?
"Also, you will get to learn about O.W.L.","Additionally, you will have the opportunity to meet and learn about the character of O.W.L."
"Come on, three months and no choice?","Three months and ''the consequences may be severe, but the consequences are severe."
It may begin during the Spring or the Christmas season.,"Beginning either in the Spring or during the Christmas season, it is possible to start it."
"I enjoy dancing to ""Baby Got Back"" by Sir Mix-A-Lot.","""The most enjoyable routine is ""Baby Got Back"" by Sir Mix-A-Lot, which I enjoy dancing to."""
"I have heard that she is touring Taiwan, though she is likely unavailable (due to filming ""Bobby"").","Although reported, it appears she is touring Taiwan, but it is unlikely she visited because she can film ""Bobby""?"
"He has a lot of power when he possesses his firearms, though without them he is likely weak.","Although he may possess his own weapons, if unable to use them, his strength is likely to decline."
Darth Vader would not have any opportunity.,"Without a possibility, however, it would mean that Darth Vader, not just some ordinary man, would miss out."
I really enjoy Dragonball Z.,Dragonball Z?
"Try www.allmusic.com, it's my favorite site.","Avoid music sites; instead, select www.allmusic.com, which is my favorite."
"Everyone knows who Tom Petty is, he sings Free Fallin'.","The person known as Tom Petty, who performs the song Free Fallin', is widely recognized."
Fall out boy isn't my favorite. I'm not sure why everyone enjoys them.,"Although, fall out in the middle of autumn, I have a different taste, it's simply not popular."
"Rock Roses is the same as Stone Roses, so I don't think so.","Although, it appears, Rock Roses is the same as Stone Rose, so I disagree."
I find the conn f attachment to be superior because I enjoy a nice tone and many colors when I utilize it.,"Although the duct is designed with a unique attachment, I prefer the one with the cone f because I enjoy achieving 'nuance' in tan and varying colors."
"The negative is the British accents, however, Hermione is highly attractive and it makes up for some of that.","Although British accents are viewed negatively, Hermione is extremely attractive and makes up for it."
If it was that successful then it must be worth possessing.,"Should the outcome be successful, it must be valuable."
"There are those that wish to extend the season to an entire year, and that is the reason for the break and vacation time.","Certain individuals desire to extend the season by a full year, and that is why the break and vacation time are provided."
I found 24 to be politically conservative in nature.,"Politically conservative, 24 was what appeared to be."
"I know, but I can not remember.","Although, it is something I know, I cannot remember."
This happens only after having seven burritos.,"After the seventh serving, this occurs only after finishing seven of the pastries."
Bad women seem good for pornographic movies.,"Although unpleasant, ill-mannered women appear attractive in films of the type that are used in adult entertainment."
"Yes, look at Anjelina and look at the movie.","View the film and observe Anjelina. Yes, yes, watch the movie."
I believe that you mean the television series.,"The television series, by the way."
I do not think it is important because she is hot.,"Although, I believe it is insignificant, she is pretty gorgeous."
"Bart Simpson is excellent, but Bugs Bunny is a classic.","Although Bart Simpson is excellent, Bugs Bunny is a masterpiece."
Can't you hear me knocking.,Could you identify me knocking?
I would rather listen to rock anyway.,"Although, it may change my music tastes, I prefer rock."
It must not be allowed.,It is unacceptable to allow it.
I cannot think of anything else.,"Could possibly be, but that simply is not something that occurs to me."
He will be 120 in 2100,"In addition, he will reach 120 years old in 2100, when compared to 2200."
"While it is dated, it is always a supreme choice.","Although outdated, it is always a superior alternative."
