Sentence,Informal_15
"The In-Laws movie isn't a holiday movie, but it's okay.","OK, so maybe not a holiday film, but maybe you're okay with me showing off 'the In-Laws' trailer."
I don't think that page gave me viruses.,"virus on that page, I don't think I got infected with any of those."
"I watch it everyday, my favorite charachter is Inuasha.","I always get to watch it every day and Inuasha is my favorite charachter of the day, literally - a little dragon."""
Funbrain.com and runescape.com are great for family fun.,"Funbrain...and runescape.com...are the best web-based games for family fun and family outings, just imagine running around town for hours on end, fueled by a laptop screen, and duct tape and rubber bands, respectively, but these two sites are definitely worth checking out too - runexit."
He was on the Late Night show with Conan O'Brien and seemed gay.,"Accompanéed me on late Night show with Conan O'Brien, he looked gay and was a contestant on the show and appeared to be gay too."
Mel Gibson is a strong believed of God.,"Mel Gibson jibes a powerful pillar of divine ferventegidn sinner God: ""I'm gonna take ye ludic prawns."
My exams are not over yet because I still have one left.,I still have one more exam left to take though it is still one day away from my exams...
Sky Kids 3D: game over.,Sky Kids 3D ending game over : game.
His mom was a wafer so long.,Mum was a wafer - she was so long.
I am entirely off or does that help.,am completely off or does that help at all.
Her name is Jessica.,Jessica...mais's name is Jessica.
www.us.imdb.com is probably one of your best bets.,www.us.imdb.com would probably be one of your top picks.
Titanic is my favorite movie and I cry when I see it.,"Titanic is my absolute favorite movie - I can't stop giggling and crying every time I see it, it's like watching one of my favorite movies."
It gives us something to do.,So we get something to do there.
"He is debonair, or perhaps more than that.","Debonair though, maybe even more so than that."
Many people enjoy the MLB.,"A lot of people go along with the MLB and its perks and what it does offer to those who don't play a sport are worth it anyways (the MLB is backed by eagles, crow’s feet, etc."
"I do not possess that model, but I am partial to my Creative Zen Micro","I don't even own that model, but I do have a piece of my own Creative Zen Micro that I have (PSA). I just have to have one, and I can'T GET IT. :)."
I viewed it and I believe it is a quality program.,"I just sat down and I thought, This is a good show."""
She is a poor vocalist.,"vocals, she is a poor singer."
He is very attractive.,is very good-looking.’ And he.
"This is an example of something someone, who is age 20 and married, would do.","A 20-year-old who is legally wed would do just this one example of something they would go for, if they had that chance and a couple would be able to do it for someone else (as in, ""you know, I am married now,"" he says."
What am I getting paid for doing this?,WHEN WILL I BE NETWORKING?
Listen to what the first person who answered said.,Dont the first person who responded take a stand heed of it!
"He could fly that plane, and I think that is funny.",Fun thing is he could fly that plane.
"This was an interesting book, story, and movie.","Funniest book, story and movie..."
"Sir, it is not good for you.","it is not good for you, sir, it."
"it is not open to interpretation, however you can take pleasure in it.","it is not open to interpretation, but you can take joy in the."
"I have not seen the television series, however I have seen the R.O.D","WATCHED INTO THE R.O.D. I DID NOT WEEKEND IN TO THIS TV TELEVISION, BUT I DONT SEE THER O.OD."
"When he urinates it is batman, which is funny because he loses weight in water.",Humorous but funny because he loses weight watering down his urine and when urinates it looks like batman - funny thing.
I like to spend time by myself.,"spending time alone, I like to spend time a lot."
I guy walks into the bar.,guy enters the bar.
"Downloading music from other computers is illegal, but you can do what you want.","Don't even bother to download music from another computer, though -- you can download songs from any computer without getting into legal trouble -- because you don''nt pay for it, you just can'T get away with it."
Go to yahoo.com and click on images and type his name in the search box.,"Go to yahoo, click on images, then click over and type in his name in the search box then type his own name back in it..."
He and the other guys agreed on the final cut.,AcquiRED BY HE AND THE OTHER GUYS WHORE UNITED WITH ME FOR THE SECOND COURSE.
We went to the other side.,"Next up, we went the other way line-up, left and right, again, and again and left, but not anymore and we stayed that way and then some more, including a visit from one side to the next and back again to our camp and what we found there was rotten, not one but two, right and lastly, our home turf wark and another man's life tarnished forever and never again was left open, just waiting for him"
I didn't know HBO existed in the 1980s.,"I didn't even know HBO was around 1980, did you know about HBO then or later?"""
"Yes, but not for episode IV.","Ok, but not for episode IV, like, episode V."
You can look at www.oprah.com.,www.oprah.com is where you can find more info.
"It is impolite to use all capital letters, Dead Fish Ollec the Fish Slayer.","Dead Fish Ollec the Fish Slayer is a dead fish, its all-cash alphabet is bad defibrillator and it is imp impolite to use all no cliched capital letters in dead Fish...?"
Anyone would cry at these movies.,I don't mean to be mad - these movies are just going on and on.
What I like is that you let yourself go. (Hard!),I actually like to be a slave and not be held back from clinging on too much (Hard!)
"Entertainment, that's what I want for my $8.00.","I got Entertainment, that's what I'd pay for entertainment for $8.00 now."""
"That dude, skip him, he said he knows the lead singer, hes lying.","Hey there, that dude, skip him, he said a friend of the lead singer, and if u are lying, it's because l was the singer."
I was first out of all of us. Do I get the points?,"I was the first one out of everyone to be tagged first, do I get the points now or not based on my score alone now in one category alone in our group of over a million people standing first and second respectively here and there is nobody else standing even compared to me here?)"
"Rest assured, though Showtime is talking about starting it, so it will be better.","Start it now, Showtime is talking about it right away... so it'll be better."
it depends on how much money and drugs you have.,depending on the amount of money and drugs you have.
The Bangles Hazy shade of Winter.,Bangles Hazy Winter Colours - Duration: 58cm.
But the longest word in the dictionary is antinonestablishtarianism. I think that is how you spell it.,"I just guessed the longest word in the dictionary, antinonestablishtarianism, I think you spelt it so, you know, it's the long term antiminestionalistiarism?"
Probably at the Ricky Ticky Tavy store.,SupposEDLY At the Ricky Ticky Ty Tavy store.
The gang is all here; goodbye to all the rest!,A win win for the gang - all aboard!
"The movies are Big, Sleepless In Seattle and I hope the Da Vinci Code.","Big, Sleepless In Seattle and I Hope the Da Vinci Code are the big three movies I'm waiting to see, so I must watch them all the way through..."
You do not want to go to hell.,"Don't go to hell, you don''."
The wild and sexy lady from Brazil is quite a hot woman!,A brazilian woman who is a wild and sexy 'girl' is getting nauseous - and hot!
Two are The Word Is Not Enough and Tomorrow Never Dies.,Next up are Tomorrow Never Dies (2002) & The Word Is Not Enough.
"There were three of them, my daughter, my sister and one of my exes.","three of my daughter, my sister and one of one's exes."
"Fort Minor is the name he is currently using, I do not believe he is working on any side projects.","I don't think he is actually working on anything side projects, but I do know if a guy is naming something Fort Minor as renamed it and I'm not sure ot it's his first time doing it, I think it was 'fort Minor'."
"I like a wide array of music, from all different generas.","I'm a big fan of music, listening to anything and anything, from every genre and genre of song to adult rap and soulful house songs, to classical and house music and all genres of houseful melodies..."
That is the reason why I enjoy listening to dance and techno styles of music.,"dance and techno styles of music, and for the same reason that's why I. love listening to dance/techno - really."
"I think they are okay, unfortunately they will have to buy their own tickets to the HOF like we did.","WOULD WE EVEN CHECKED OUT HOF WHICH OUR SCHOOLERS CHOICES THROUGH TO OWN ITEMS, OTHERS OVERWHELD COPY!?"
I have attempted it that way and it does not work.,I even tried that way and it doesn't work.
"It could be true, but I do not know for certain.","I don't really know if it's actually true, or not at all sure..."
"I cannot reach my own elbow to lick it, but I can reach my Mother's.","Lingering on my elbow is not my thing to do, but I can yanitide my Mother's too..."
I ask such riddles so that I can test other's minds more than my own.,I try to defy my own rules by posing untold conundescensor retorts... so that I can test others' minds.
"Perhaps you could try rephrasing your question, then re-posting it and you may get a better answer.",A better chance might be there - maybe a rewording of your question followed by X-word posting and hopefully OUR answer?
Take a pass on playing and instead invest time viewing the New Years Special.,Dont waste time on playing games and instead spend it on watching the New Years Special.
"My preference is As the World Turns on Slim Shady LP, but anything he produced after The Eminem Show was lacking in quality.","Slim Shady LP's slim and shakey style - As the World Turns is my top pick, but any album he produced after his show at The Eminem Show was just plain terrible and inferior, despite the album'' soaring in chart position, its a cappella nova (taken to the Grammy Award bestowed with'stop action') and its slow rapped reception (it was arguably the best single ever"
"I am including a list of items you can get free of charge, as well as a list of things I have already obtained for free.","I am compilING a list of freebies here and there, along with dozens of other free stuff I have already got here too."
First Davey Jones and then it would be Ann Murray.,"Ann Murray then went and went as First Davey Jones and then to a more prestigious outlet, he was known as first Daveey, then it was called Dave, and eventually it would be Dave Evans who really got started and started it all over again, right up to this time every year or so."
Very correct to say that he is.,Gutsy enough to say he is...!
She's still a slut.,she's still a slut.
"On day three, I finally received the movie they sent me.",I finally got the movie they sent me on the third day with it in it.
Ha ha. Got to give credit were credit is due.,"Ha ha I should be crediting you where credit is due hahaha."""
Favorites: My Chemical Romance or Avenge Sevenfold,"EXPECT: My Chemical Romance, or Avenge Sevenfold."
"For sure, 9pm was very hard.","9pm proved to be a tough spot, right?"
I think she is unvirtuous.,I don't think she is a good person...so maybe I should just say that...
On the third day I received the movie they sent.,I got the movie they sent me on the third day and it was delivered the next day - three days after it arrived the first day after I ordered it myself and got it today...
You have to give credit when it is earned.,Dont say when you think you deserve it.
Do you prefer Avenge Sevenfold or My Chemical Romance?,Avenge Sevenfold VS My Chemical Romance - which one would you go for?
9 pm was a difficult time.,"9 pm was a tough time, eerily beaten, tired and..."
Her intention was that he should remove the flags.,she intended to remove the flags.
"In my opinion, the band is quite enjoyable.","band, I think they are pretty good."
How creative do you think people were in the 1960s?,"I'd like to guess how much people were creative back in the 1960s, just based on your own guesses...how many people actually were in that creative mindset?"
"I prefer to use it for my music, movies, and books.","I go there for my music, movies, books, whatever it is I want to use..."
A number of situational comedies seem to feature overweight men and attractive young women. One such example is King of Queens.,"situational comedy movies that seem to showcase skinny men and hot, beautiful young women. One such example is in a sitcom called ""King OF QUEENS."""
She inferred that she wanted him to get rid of the flags.,"But she thought she wanted him to get rid of the flags, she said."
I think they're still a good band.,"still a good band, I think they are."
How creative do you think they were? It was the 60's.,"How creative (if they were original, really) were they back in the 60's?"
