Sentence,Paraphrase,Formal_10,Formal_15,Formal_20,Informal_10,Informal_15,Informal_20
"The In-Laws movie isn't a holiday movie, but it's okay.","The In-Laws movie isn't a holiday movie, but it's not bad either.","Although the film is not a holiday release, The In-Laws is ok.","Although the film is not geared towards Christmas, The In-Laws is acceptable.","Although the film is not geared towards Christmas, The In-Laws is acceptable.","OK, so maybe not the holiday movie trend, but maybe you should watch the movie The In-Laws.","OK, so maybe not a holiday film, but maybe you're okay with me showing off 'the In-Laws' trailer.","OK, so maybe not a holiday film, but maybe you're okay with me showing off 'the In-Laws' trailer."
I don't think that page gave me viruses.,I don't suspect that that page harbored any viruses.,"Although I believe I was safe from viruses on that page, I doubt it.","Although I believe I was safe from viruses on that page, I doubt it.","Although, I believe I was safe from viruses on that page.",I don't think I got infected with viruses by going here and going from that page to that site and then onto something else... that was the page I went to.,"virus on that page, I don't think I got infected with any of those.","virus on that page, I don't think I got any on."
"I watch it everyday, my favorite charachter is Inuasha.","I watch Inuasha every day, and I have a special place in my heart for the charachter that I love the most.","Every day, I watch it, and Inuasha is by far, my beloved charachter.","Every day, I watch Inuasha, which is among the charaches.","Every day, I view it, and my preferred character is Inuasha.","I always watch it and Inuasha is my favorite charachter, I'm a big fan of it too.","I always get to watch it every day and Inuasha is my favorite charachter of the day, literally - a little dragon.""",I get to see it every day and I really dig Inuasha charachter...
Funbrain.com and runescape.com are great for family fun.,Funbrain.com and runescape.com are two websites that provide complete family entertainment options.,Both Familybrain.com and runescape.co are sites that provide fun and entertainment options for families.,"Both, such as the website, Funbrain.com, and runescape.org, are entertaining options for families.","Both, such as the website, Funbrain.com, and runescape.org, are entertaining options for families.","Funbrain.com is a fun online web design and runescape is an online e-book you can rely on for family-friendly amorcandy and family outings, just like ipadpad and foxyshes (the popular nanny app for kids) run by Stupidyoga, and the fungamous sex life of jojones (often ranked as the best webcam site in","Funbrain...and runescape.com...are the best web-based games for family fun and family outings, just imagine running around town for hours on end, fueled by a laptop screen, and duct tape and rubber bands, respectively, but these two sites are definitely worth checking out too - runexit.","Funbrain...and runescape.com...are great sites for family fun and family-friendly runs, too -- fun."
He was on the Late Night show with Conan O'Brien and seemed gay.,He appeared gay on the Late Night program with Conan O'Brien and appeared with Conan on the Late Night program.,He appeared in a relationship with Conan O'Brien on the Late Night program and appeared to be gay while on it with him.,"While appearing on the Late Night program with Sean O'Reilly and Kevin Costner, he appeared to be gay.","While performing on the Late Night program with actor and comedian Sean O'Reilly, he appeared gay.","Accompanied only last night by Conan O'Brien (left) he looked gay when a guest on the Late Night show appeared with him on tv with Conn Osborne (right) He appeared on air with left-wing Con (conan's) Ovn Aman (center), formerly of the 'Nightline' show on NPR and appeared in televised late night shows on Brunson & Brunell","Accompanéed me on late Night show with Conan O'Brien, he looked gay and was a contestant on the show and appeared to be gay too.","Accompanéed me on show Late Night with Conan OBrien, he looked gay and was a contestant on the late Night show in the show's cast (they starred as Conway O'Brian) in an episode - see the details."
Mel Gibson is a strong believed of God.,Mel Gibson is a pious believer in God.,Mel Gibson's belief in God is evident in his belief that he is a prophet.,"As a beliefer in God, Mel Gibson is one of the most devoted fans of music.","As a beliefer, Mel Gibson is surrounded by God.","Mel Gibson is a godly soulmate, just waiting to be heard again, if you can even remember it, thanks praising God's love and faithfulness in such resonant and fervent ways...","Mel Gibson jibes a powerful pillar of divine ferventegidn sinner God: ""I'm gonna take ye ludic prawns.","Gott kind of loves Mel Gibson, and he's a pious soul."
My exams are not over yet because I still have one left.,"I still have one exam to clear, so my exams are not over yet.","One of the exams is due to come. I have not finished them yet, so I am waiting for my turn.","Although, I have yet to clear my exams, there's one left.","Although, there is still one of my exams, and my examinations are not finished yet.",I still have one more exam left to take though it is still one day away from my exams...,I still have one more exam left to take though it is still one day away from my exams...,I still have one last exam due next week and it's still early...
Sky Kids 3D: game over.,Sky Kids 3D game finished.,Game conclusion: In Sky Kids 3D.,Game conclusion: In Sky Kids 3D.,Game conclusion: In Sky Kids 3D.,Sky Kids 3D ending game over : game.,Sky Kids 3D ending game over : game.,Sky Kids 3D ending game over : game.
His mom was a wafer so long.,A wafer that was so long that his mom was a walker.,"His mother, despite residing in a trailer, was unable to manage the size of.","His mother, despite residing in a trailer, was born as 'a large wooden walker'.","Although he lived by a large mother who was unable to eat, his mother was known for her long experience as 'a giant wheat cooker'.",A wafer so big his mom was.,Mum was a wafer - she was so long.,Mum was a wafer - she was so long.
I am entirely off or does that help.,Is that a positive thing or am I completely apathetic?,Does that remedy the situation or is it entirely wrong?,Does the fact that I am completely blank or is that a positive thing?,Do the circumstances or am I entirely abnormal?,am completely off or does that help at all.,am completely off or does that help at all.,am completely off or does that help at all.
Her name is Jessica.,Jessica is the name of the girl we're referring to.,"Jessica, that is the correct name.",Jessica. What is the name of the person?,Jessica.,"Jessica stands for her real name, you might say her last name...",Jessica...mais's name is Jessica.,Jessi's real name is Jessica...
www.us.imdb.com is probably one of your best bets.,It's highly likely that www.us.imdb.com will be one of your top choices.,It is highly likely that www.us.imdb.com will be among your top choices.,It is safe to assume that www.us.imdb.com is one of your top choices.,One of the highest probability is that you will find www.us.imdb.com to be one of your favorites.,"www.us.imdb.com is probably one of your top picks, based on your selections here at odds.",www.us.imdb.com would probably be one of your top picks.,www.us.imdb.com would probably be one of your top picks.
Titanic is my favorite movie and I cry when I see it.,Titanic is one of my most beloved movies and I can't help but cry when I see it.,The Titanic is one of the most emotional movies and tears up within a minute of watching it.,"Although I cannot bring myself to tears, Titanic is one of my favorite movies and I can't help it.","Although, as time passes, I can't watch Titanic, which, despite all things, causes me to cry.",Titanic is my absolute favorite movie - I can't stop giggling and crying every time I see it.,"Titanic is my absolute favorite movie - I can't stop giggling and crying every time I see it, it's like watching one of my favorite movies.","Titanic is my absolute favorite movie - I can't stop giggling and crying every time I see it, it's like watching one movie come to life."
It gives us something to do.,It gives us a certain amount of work to do.,It provides us with a task to perform.,It provides us with a task to perform.,It provides us with a task to perform.,And it gives us something to do.,So we get something to do there.,"So we get something to do there, that's something we can do."""
"He is debonair, or perhaps more than that.","He is either degrading, or possibly more than that, in your opinion.","Perhaps more, or more than what is described as debonair, is that.","Perhaps more, or more than what is described as debonair, is that.","Perhaps, or more, than exemplary, he is.","Debonair isn't he, or maybe not, but a little more so.","Debonair though, maybe even more so than that.",But he is - or maybe more.
Many people enjoy the MLB.,The MLB is a favorite among many people.,Many individuals have a passion for the MLB.,Many individuals have a passion for the MLB.,Many individuals have a passion for the MLB.,A lot of people have a great connection to the MLB these days...,"A lot of people go along with the MLB and its perks and what it does offer to those who don't play a sport are worth it anyways (the MLB is backed by eagles, crow’s feet, etc.","A big chunk of people watch the MLB every now and then, and it's a big fan favorite for ages, too, to be taken seriously seriously either way or not at all, i.e.."
"I do not possess that model, but I am partial to my Creative Zen Micro","I do not have that model, but I have a piece of my Creative Zen Micro. I am partial to it.","Although I possess a Creative Zen Micro, I do not have that model, but I have incorporated it into my collection.","Although, I possess a Creative Zen Micro, but not that model, and I have favored my current one.","Although, unfortunately, I do not have that model, but I have a piece of my Creative Zen Micro.","I do NOT have that model, but I am partial (I do a Creative Zen Micro) Microphone w/o putting X3 for now.","I don't even own that model, but I do have a piece of my own Creative Zen Micro that I have (PSA). I just have to have one, and I can'T GET IT. :).","I don't even own that model, but I do have my own version (Creative Zen Micro) - I just have one."
I viewed it and I believe it is a quality program.,I watched it and I think it's a good show.,"After viewing it, I am convinced that it is a worthwhile program.","After viewing it, I am convinced that it is a worthwhile program.","After viewing it, I am convinced that it is a worthwhile program.","I just sat down and I thought, This is a good show.""","I just sat down and I thought, This is a good show.""","I just savored it and I think it's a good show."""
She is a poor vocalist.,She is a terrible singer.,She lacks proficiency in singing.,She produces a feeble singer.,"Unfortunately, the singer is not very good.","vocals, she is a poor singer.","vocals, she is a poor singer.","vocals, she is a poor singer."
He is very attractive.,He is very good-looking.,Very attractive.’ He is very handsome.,Very attractive.’ He is very handsome.,Very attractive.’ He is very handsome.,"very pretty, I think he is very handsome.""",is very good-looking.’ And he.,is very good-looking.’ And he.
"This is an example of something someone, who is age 20 and married, would do.","An example of something that someone would do is someone who is married and 20 years old, as if they were 20 years old.","As an example, a person in their twenties who are married would perform this action.","As an example, if a person is married at the age of 20, this would be something that they could do.","As a demonstration of something someone, who is married and aged 20, could do, as this example.",A 20-year-old who is legally married would probably do something like this if they were a married man who does not have ties with someone they are not presently jut 'n' or jigsawsawn in...,"A 20-year-old who is legally wed would do just this one example of something they would go for, if they had that chance and a couple would be able to do it for someone else (as in, ""you know, I am married now,"" he says.","A 20-year-OLD MARY married person would do something like this, an example of a married man would act like that."
What am I getting paid for doing this?,What is the amount of money I am receiving for doing this?,What is the amount of money I earn from this?,What is the amount of money I earn from this?,What is the amount of money I earn from this?,"I'm not a financial backer, what's the deal with that I can get for doing this, and what am I actually able to make by doing it here and now I get to work for payback/payoff/earn back then?",WHEN WILL I BE NETWORKING?,WHEN WILL I BE NETWORKING?
Listen to what the first person who answered said.,Pay attention to the words of the first respondent who gave a response.,"The first person, who answered, should listen to what he or she said.",The person who answered first should be commended for their response.,Do not disregard the words of the first person who responded.,Don't be surprised if the first person who responded can still hear their own version of their initial warning before taking their next,Dont the first person who responded take a stand heed of it!,Dont the first person who responded vote with their voice cancel your order and listen to what they said.
"He could fly that plane, and I think that is funny.",I find it funny that he could take that plane.,"It is funny that he could take that plane, and I think.",It is humorous that he could pilot that plane.,It appears to me as funny that he could fly that plane.,"Funny thing is he could fly that plane, I mean....",Fun thing is he could fly that plane.,Fun thing is he could fly that plane.
"This was an interesting book, story, and movie.","The book, story, and movie were all captivating.","The book, story, and movie were all captivating.","The book, narrative, and movie were all captivating.","The novel, narrative, and movie were all captivating.","I was enamored read it, watched it and then watched a movie and drew in... this was an interesting book, story and movie.","Funniest book, story and movie...","Funniest book, story and movie..."
"Sir, it is not good for you.","Sir, it is not good for you, it is not good for you.","It is not good for you, Sir, it is harmful, for that matter.","It is not good for you, Sir, it is detrimental.","It is detrimental to you, sage and stern, Sir.",Sir...it is unfavorABLE for you.,"it is not good for you, sir, it.","it is not good for you, sir, it's."
"it is not open to interpretation, however you can take pleasure in it.","It is not a matter of interpretation, but you can enjoy it.","Although you may find pleasure in it, it is not open to interpretation.","Although, it is not open to interpretation, but you can enjoy it.","Although, it is not open to interpretation, but you can enjoy it.","WORRY, IT CAN BE EVEN THOUGHT NOT AN ENTIRE QUESTION WHICH YOU GET FORGARD.","it is not open to interpretation, but you can take joy in the.","it is not open to interpretation, but you can take joy in the."
"I have not seen the television series, however I have seen the R.O.D","I have not viewed the television series, but I have seen the R.O.D.","Although I have not watched the television series, I did catch the R.O.D. show.","Although the television series is not on my radar, I have watched the R.O.D.","Although the television series is not on my radar, I have watched the R.O.D.","I haven't sat a TV series yet, but I do have the R.O.D. I just stumbled upon the little red ops (R.o.","WATCHED INTO THE R.O.D. I DID NOT WEEKEND IN TO THIS TV TELEVISION, BUT I DONT SEE THER O.OD.","WATCHED INTO THE R.O.D. I DID NOT WEEKEND IN TO THIS TV TELEVISION, BUT I DONT SEE THER O.OD."
"When he urinates it is batman, which is funny because he loses weight in water.","When he urinates, it is like playing batman, which is funny because he loses weight in water.","The process of him urinating and mimicking batman is humorous, as he loses weight in water.",The process of capturing Batman's batman image during urination is comical as he loses weight in water.,"As he has been eliminating water from his body, it is funny that when a man urinates, 'it's as if Batman', which is accompanied by the funny part because - surprisingly, there'll be weight loss.","Humorous binge-embles funny because when he urinates, 'bally-bombed' like batman is how a guy looks when weight falls in water' (he lost weight in mud, then slipped into ice and pooped on top of it, and then fell in to water again, so it's fun).",Humorous but funny because he loses weight watering down his urine and when urinates it looks like batman - funny thing.,HumorOUS: When he urinates it 'like batman' it is funny how a guy loses weight in water.
I like to spend time by myself.,I enjoy being alone and spending time outside.,Spending time alone suits me.,Spending time alone suits me.,"Doing the task by myself, I enjoy spending time.","I derive so much out there and spend so little time being alone I don't like to be alone.""","spending time alone, I like to spend time a lot.","spending time alone, I like to spend time a lot."
I guy walks into the bar.,The man walks into the bar.,The individual walks into the bar.,"As a result, he walks into the bar.","As a result, he walks into the bar.",guy enters the bar.,guy enters the bar.,guy enters the bar.
"Downloading music from other computers is illegal, but you can do what you want.","Music can be downloaded illegally from other computers, but you have the option to listen to your own music.","Although downloading music from other computers is illegal, you have the option to listen to songs on your own computer.","Although downloading music from other computers is illegal, you have the option to listen to songs on your own computer.","Although downloading music from other computers is illegal, you have the option to listen to songs from your own computer.","Don't be intimidated into downloading free (and legal) music from other PCs -- you can download free music, too, even if it's illegal to download tracks from another PC, but you don''nt steal the music you're downloading.","Don't even bother to download music from another computer, though -- you can download songs from any computer without getting into legal trouble -- because you don''nt pay for it, you just can'T get away with it.","Dont downloading music from other computers is illegal (you can download it from any computer, it's legal from your PC, but you can listen to your heart' Orwellian tunes, tune in to the MP3 player, if you want) - but don't worry."
Go to yahoo.com and click on images and type his name in the search box.,Go to yahoo.com and click on images and enter his name in the search box after clicking on his name.,Search for his name in the search box provided with yahoo.com and then click on images under gmail.,Search for his name in the search box provided with yahoo.com and then click on images under gmail.,Search for keywords on yahoo.com by selecting images and typing his name in the search box while browsing through gmail.,"Go to yahoo.com and click on images then type in the name of the person you're trying to search for (here is his name in search box, see image details for example, ""TOP CERTAIN TYPICALS LIMITED..."" --> CHECK-OUT THE SYMCHIBURk DIRECTIONS"" -> ADSLESSING CATIONS CLICK HERE TO THE ADAMS LINKS HERE to the image search bar.","Go to yahoo, click on images, then click over and type in his name in the search box then type his own name back in it...","Go here to yahoo.com click on images and type in the name of the person you're trying to search for and you are done... Click OK then click OK again then type your name again and your phpBB prompt prompts again, again but I am unable to do any more then press the ENTER POST button Next time!"
He and the other guys agreed on the final cut.,He and the rest of the group came to a decision on the last cut.,He and the remaining individuals negotiated the final cut cut.,"The men and subsequently, he and the other individuals, reached a consensus on the last cut.","The men and subsequently, he and everyone else, reached.",AcquiRED BY HE AND THE OTHER GUYS WHORE UNITED WITH ME FOR THE FURNITURE OF THE PROJECT.,AcquiRED BY HE AND THE OTHER GUYS WHORE UNITED WITH ME FOR THE SECOND COURSE.,AcquiRED BY HE AND THE OTHER GUYS WHORE UNITED WITH ME FOR THE SECOND COURSE.
