Sentence,Formal_15
"The exception was between late 2005 and 2009 when he played in Sweden with Carlstad United BK , Serbia with FK Borac Čačak and Russian FC Terek Grozny .","However, he made a small appearance in Sweden with Carlstad United BK and in Serbia with both aak FC FC Olimpic and Russian FC Terrazny during the period of late 2005-2009."
The Tabaci River is a tributary of the River Leurda in Romania .,"In Romania, the River Leurda and the Tabaci River are both rivers with a connection to the Romanian Peninsula."
He played with the A-level Kane County Cougars in 1993 and the AA Portland Sea Dogs .,"He participated in games with the A-level members of the notable 1990s and 1993 sports teams, including the NBA champions the AA Portland Sea Dogs, and the University of Washington A team that developed ties with C.J. Power in 1993."
"Winarsky is a member of the IEEE , Phi Beta Kappa , the ACM and Sigma Xi .","Members of the IEEE, Phi Beta Kappa. the ACM and Sigma Xi besides, Winarsky is a member of several professional organizations."
In 1938 he became the government anthropologist of the anglo-Egyptian Sudan and led fieldwork with the Nuba .,"Following his appointment in 1938, he worked as the official anthropoologist of the government in the Sudan, where subsequently partnered with the Nuba and conducted research with them."
"Billy Billy Batson appeared in the first four issues of `` Black Adam '' , published between late 2008 and early 2009 .","The publication of  Black Adam '' was in its late 2008–early 2009, and Billy Billy Batson was one of the stars who appeared in the first four issues."
The solar approach to this requirement is the use of solar panels in a conventional-powered aircraft .,"The use of solar panels in a conventional-powered aircraft is the preferred method of addressing this need, while others rely on batteries."
"The police also questioned singer Rimi Tomy and the actor Kavya Madhavan , both close friends of Siddique and his wife Dileep , as part of the ongoing investigation .","As part of the investigation, the police questioned Rimi Tomy and Kavya Madhavan, who are both friends of police journalist and actors, and were present at the scene with the rest of their victims."
"They are overlaid with sparse live orchestral music and consist of vague , almost deliberately colorless sounds .","The instruments are overlaid with scantily colored live orchestral music and are composed of unclear, almost intentionally colorless sounds."
Holly was musically influenced by Elton John .,"Although Holly identified with Elton John, his influence on Holly's music was also evident."
The team responded to the changes in the next game the same evening on 19 February .,"The changes were noticed by the team in the next game on 19 February, and they responded to the changes in that evening."
"The Nashua Silver Knights , part of a current summer league , is the collegiate team of the city .","The city's university team, specifically the Nashua Silver Knights, is enrolled in a current summer league and resides in the city itself."
"The `` Fallbeil '' was used for the last time in West Germany in 1949 , in East Germany in 1966 .","West in 1949 and East in 1966 saw the utilization of The  Fallbeil '', which was first used in West and then in East Germany in 1967."
The canal is one of the oldest navigable canals in Europe and in Belgium .,"One of the earliest canals that exist, and is currently accessible in Europe and Belgium, is the canal in Belgium."
In 2009 he moved back to Philadelphia and lives in New York City today .,"After moving to Philadelphia in 2009, he settled in New York City where presently residing."
