Sentence,Informal_20
"Say , Jim , how about going for a few beers after dinner ? ",Would anyone be ripped for a beer after dinner?
 You know that is tempting but is really not good for our fitness . ,Fit'n'all lock! That's tempting but really bad for health.
 What do you mean ? It will help us to relax . ,Wouldnt u be able to spell it '? It will definitely play.
 Do you really think so ? I don't . It will just make us fat and act silly . Remember last time ? ,Real? Absolutely!!...n one whit's doing it natch it'll just make us fatten up even more - it will make me dumbfounded.
 I guess you are right.But what shall we do ? I don't feel like sitting at home . ,Cant sit back at home! :( I agree with you ;( )And I am so much better off just like you at Home.
 I suggest a walk over to the gym where we can play singsong and meet some of our friends . ,Wouldnt make ice cream from a walk up to the gym and invite some friends over to sing at the song.
 That's a good idea . I hear Mary and Sally often go there to play pingpong.Perhaps we can make a foursome with them . ,Wouldn't make anyone happier if you could team up with Mary and Sally in a foursome. Mary always goes there to play ping pong.
" Sounds great to me ! If they are willing , we could ask them to go dancing with us.That is excellent exercise and fun , too . ","Awesome!!If they would be able to dance with us, that would make it a great workout and great fun!"
 Good.Let ' s go now . ,All done.Let's Go!
 All right . ,All up.
Can you do push-ups ? ,Would performing push-ups suit - is it possible u can do it?
" Of course I can . It's a piece of cake ! Believe it or not , I can do 30 push-ups a minute . ",The only thing on my plate right now is doing 30 push-ups in a minute!
 Really ? I think that's impossible ! ,Wouldn't belief ever cease to exist! Totally!
 You mean 30 push-ups ? ,Would 30 push-ups be all that you need in your workout routine?
 Yeah ! ,Wouldn f******t that
" It's easy . If you do exercise everyday , you can make it , too . ","Easy coding just takes a minute!! If you work out every day, you can make it easy too."
Can you study with the radio on ? ,Would playing radio on. you able to listen!
" No , I listen to background music . ",Music plays anthems are used in background without any vocals.
 What is the difference ? ,Can anything ever say without arguing!
 The radio has too many comerials . ,One out. The radio plays too many cricket crickets.
" That's true , but then you have to buy a record player . ",The only thing holding it true is you won't need to buy a record player.
Are you all right ? ,All up!
 I will be all right soon . I was terrified when I watched them fall from the wire . ,Fearless..I will be all right soon.‘Watching them fall from the sky today I was frightened.
 Don't worry.He is an acrobat 。 ,"Done yet!He is able to perform 3>>crobat,.He even screams!He just grins and yells at his idols, but he never does."
 I see . ,The answer overwhelmingly clears.
"Hey John , nice skates . Are they new ? ","Nice skates guys, john! Where are you?"
" Yeah , I just got them . I started playing ice hockey in a community league . So , I finally got myself new skates . ",Got skateboards today! I'm in ice hockey at a community league and I was able to play.
 What position do you play ? ,Would ever-evident plumber/socket man you be in.
 I ’ m a defender . It ’ s a lot of fun . You don ’ t have to be able to skate as fast on defense . ,Hockey is exciting even if you are not able to skate fast on defense.
" Yeah , you ’ re a pretty big guy . I play goalie , myself . ",The big guy is incredibly impressive. I'm a goalkeeper myself.
" Oh , yeah ? Which team ? ",Can everyone guess who is on which team?
 The Rockets . ,Rockets team.
" Really ? I think we play you guys next week . Well , I have to go to practice . See you later . ","Real...!... You guys are playing tonight..well I have to go out RIGHT NOW, and I will be able to see you all over again a couple of days...."
" All right , see you later . ",All in bar.
"Hey Lydia , what are you reading ? ","Would anyone be able to read it already!! Lydia, can you share what novella you are reading?"
" I ’ m looking at my horoscope for this month ! My outlook is very positive . It says that I should take a vacation to someplace exotic , and that I will have a passionate summer fling ! ",All the happiest horoscope readings this month have me on the brink of achieving a summer vacation in pristine South Africa and having sex on it!!
 What are you talking about ? Let me see that ... What are horoscopes ? ,Wouldn't you be  based completely bare? I'm gonna ask you this one first... What's a horoscope?
" It ’ s a prediction of your month , based on your zodiac sign . You have a different sign for the month and date you were born in . I was born on April 15th , so I ’ m an Aries . When were you born ? ","Birth Tagged astrastrologist progamon!! You are born on 15th of April, Aries month and you have a zodiac sign which is corresponding to whose birth date you are in."
 January 5th . ,1 January all day.
" Let ’ s see . . . you ’ re a Capricorn . It says that you will be feeling stress at work , but you could see new , exciting developments in your love life . Looks like we ’ ll both have interesting summers ! ",Love everyone! You are a Capricorn too!! Work will always be stressful! New beginnings! Love!
" That ’ s bogus . I don't feel any stress at work , and my love life is practically nonexistent . This zodiac stuff is all a bunch of nonsense . ","All my friends are promoting astrology, making it impossible to fathom anything of importance. I have a flawless work life, and I am completely unattached in love with my significant other."
" No , it ’ s not , your astrology sign can tell you a lot about your personality . See ? It says that an Aries is energetic and loves to socialize . ","Numerous solar signets align perfectly with Aries, who is pictured above, demonstrating their love for social interaction."
" Well , you certainly match those criteria , but they ’ re so broad they could apply to anyone . What does it say about me ? ","The only catchphrase is ""you meet all the standards outlined above ”. What does it say about me, given that everyone knows you."
 A Capricorn is serious-minded and practical . She likes to do things in conventional ways . That sounds just like you ! ,"The universal language is true :-) A Capricorn is a person who is extremely serious and practical - She likes things done in purely non-artistic ways, which is not unusual for cpripers! That sounds just like you!"
"Frank ’ s getting married , do you believe this ? ","Would everyone be in the same cast as Frank if he were to get married, do you agree or disagree?"
 Is he really ? ,Would u be.
" Yes , he is . He loves the girl very much . ",Loved girl? Yes please.
 Who is he marring ? ,Whose image above he is painting?
" A girl he met on holiday in Spain , I think . ",One girl he met on a trip to Spain - pictured.
 Have they set a date for the wedding ? ,Has the wedding date already been pre-arranged?
 Not yet . ,Still working.
I hear you bought a new house in the northern suburbs . ,The only news on Monday morning showed that you bought a new house in the northern suburbs.
" That ’ s right , we bought it the same day we came on the market . ",The one. utmost's it was on sale day - we bought it tuesday.
 What kind of house is it ? ,House! :)?..what is it called??
 It ’ s a wonderful Spanish style . ,Fabulous'son of the Spanish'.
" Oh , I love the roof tiles on Spanish style houses . ",The perfect roof tiles on Spanish style houses are a dream come true for me.
 And it ’ s a bargaining . A house like this in river side costs double the price . ,House on river side pictured is double the price.
" Great , is it a two bedroom house ? ","Would u be r dating a 2 bedroomed house in gloaming,?"
" No , it has three bedrooms and three beds , and has a living room with a twelve-foot ceiling . There ’ s a two-car garage . ","The home only has three bedrooms, three beds and one living room - a livingroom complete with ten feet high ceiling, complete mitra with two-car garage."
 That ’ s a nice area too . It ’ ll be a good investment for you . ,Nice spot too! Bonus big investment.
" Yeas , when will you buy a house ? ",Would buying a house now mate you on 1 f all?
" Not untill the end of this year , you know , just before my wedding . ","The big time won't end until 00:00 EST tonight, right before my big wedding."
" Right , congratulations . ",All congratulations.
 Thank you . ,Many props.
"Hi , Becky , what's up ? ",Becky! Can you believe it?
" Not much , except that my mother-in-law is driving me up the wall . ",Nothing compared......My mom-in-law drives me right up a wall.
 What's the problem ? ,Would anyone be em ur bf?
 She loves to nit-pick and criticizes everything that I do . I can never do anything right when she's around . ,Every move matched her abilities - she snubs me and says nothing but perfect my every move. I can never do anything right around her.
 For example ? ,Would anyone be  em ur the example?
" Well , last week I invited her over to dinner . My husband and I had no problem with the food , but if you listened to her , then it would seem like I fed her old meat and rotten vegetables . There's just nothing can please her . ","Last week was over with out dinner. My husband and I were fine dining - eaten all the meat and rotten vegetables, but if you listened to her I fed her old meat, all of which is just a game of chicken and egg and there's nothing good about anything that can please her."
" No , I can't see that happening . I know you're a good cook and nothing like that would ever happen . ",The only answer is yes..... yes you are incredibly good at cooking.
 It's not just that . She also criticizes how we raise the kids . ,The message won  it all - it's not only about 'how' OUR kids are raised – she also says it.
" My mother-in-law used to do the same thing to us . If it wasn't disciplining them enough , then we were disciplining them too much . She also complained about the food we fed them , the schools we sent them too , and everything else under the sun . ","Mother-in-law always had her daughter  disciplining her children - oops if she wasn't it would be her 'childminderminder'! She also had a huge amount of complaints about everything imaginable (food, schools, etc.)."
 You said she used to ? How did you stop her ? ,She said yes to this. Exactly. How could you stop her?
" We basically sat her down and told her how we felt about her constant criticizing , and how we welcomed her advice but hoped she'd let us do our things . She understood , and now everything is a lot more peaceful . ","All was above board when we first spoke. We were able to communicate our emotions without any resistance, expressed our willingness to listen and hope for her positive response. She was completely compelled to do so, and now everything is going well."
 That sounds like a good idea . I'll have to try that . ,Wow!! What a great idea! Just wanted to say. Done! I'm going to have it.
How are Zina's new programmers working out ? ,Zina team has new programmers! Whats working out well?
" I hate to admit it , but they're good . And fast . The Filipino kid is a genius . ","The baby won is genius - I can't fault it a lot, but they're good. Big time :) I know the Filipino kid is incredibly smart."
" So you'll make the Stars.com deadline , and have us up and running next week ? ",Starship! You're up next week! Don't you believe it's even possible?
" It'll be close , but we'll make it . ",The only catch won't happen... yet.
" Good . After Stars.com starts paying us , we won't need Vikam's cash anymore . ",Starship.. Now!...  NV vikam? n obv1s kitty s.o we won ok uk dst f1 kulli hq ul juju vkam us bt usdb tak lisp.’ Cash is seized from Vikham’s possessions by the company AF after they start
" And if we don't need them , we won't need Zina , either . ","Zina won’t exist – if you don’ t have anything to do except for him, Zinb."
Do you like cooking ? ,"Chef:) ))!))),)1))I) Are you someone who loves cooking? ) ;)(II;,Ii)You)Do you)like)?)I,I),IX)you)know how?ISO YOU)ONEONE?"
 Yes . I like cooking very much . I got this hobby when I was 12 years sold . ,Cooking always piqued my interest. Years ago (2017) - pictured here
 Why do you like it ? ,Wouldn't change anything pinned down ONE ICE PIECE?
 I have no idea . I like cooking by myself . I like to taste delicious food . ,"Cooking alone is my favorite way to taste delicious food. Despite feeling unsure if anyone knows anything, I enjoy cooking alone."
 That's wonderful ! ,Wow!
" And I love trying new recipes , which I usually test with my friends . You can come , too . ",The recipe team is always happy to make new meals with me.  You are invited!
 Really ? I hope I can have a chance to taste it . Don't forget to tell me . ,"Would anyone be able to touch it? Sure! :) Don't worry guys, you're in the right place!"
 Certainly . ,Bin all dipped.
Anyone home ? Jen ! ,Anyone living.! Has Jen m in the house?
 I'm in the kitchen ... let yourself in ! ,Kitchen gang!!
