Sentence,Formal_10
"Say , Jim , how about going for a few beers after dinner ? ","Jim, can you please let me know your thoughts on having a beer and having dinner?"
 You know that is tempting but is really not good for our fitness . ,The idea of it being tempting but not conducive to our physical health is not appealing.
 What do you mean ? It will help us to relax . ,I'll be glad to hear it.
 Do you really think so ? I don't . It will just make us fat and act silly . Remember last time ? ,Are you convinced of this statement? I don't believe it. It will only lead to weight gain and silly behavior.
 I guess you are right.But what shall we do ? I don't feel like sitting at home . ,"I think you are correct, but what should we do? I don't feel like sitting at home any longer."
 I suggest a walk over to the gym where we can play singsong and meet some of our friends . ,I propose going to the gym to play sing-along and socialize with friends.
 That's a good idea . I hear Mary and Sally often go there to play pingpong.Perhaps we can make a foursome with them . ,That's a great idea. Mary and Sally often go there for ping pong and I'm wondering if we could arrange 'a foursome' with them.
" Sounds great to me ! If they are willing , we could ask them to go dancing with us.That is excellent exercise and fun , too . ","I think that sounds wonderful! Besides, we could ask them to dance with us, which is a great way to get some exercise and to have merrymaking - it's also an excellent form of leisurely gratification."
 Good.Let ' s go now . ,Good.Let's go for a good while.
 All right . ,All right.
Can you do push-ups ? ,Are you able to do push-ups?
" Of course I can . It's a piece of cake ! Believe it or not , I can do 30 push-ups a minute . ","I've learned that I can do 30 push-ups in a minute, and I think I have done it perfectly."
 Really ? I think that's impossible ! ,Is it really impossible to do that? I doubt it!
 You mean 30 push-ups ? ,Are you referring to 30 push-ups?
 Yeah ! ,Is it true?
" It's easy . If you do exercise everyday , you can make it , too . ","It's simple. If you exercise daily, you can also make it easy."
Can you study with the radio on ? ,Is it possible for you to use the radio to study with the aid of a radio?
" No , I listen to background music . ","No, I don't listen to music in the background."
 What is the difference ? ,What distinguishes the dissimilar?
 The radio has too many comerials . ,The radio has an excessive number of comerials.
" That's true , but then you have to buy a record player . ","Yes, it's accurate, but then you have to buy a record player."
Are you all right ? ,Are you in the right place?
 I will be all right soon . I was terrified when I watched them fall from the wire . ,"I am going to be all right now. When I saw them fall from the sky, I was terrified."
 Don't worry.He is an acrobat 。 ,He is an acrobat. Don't worry.He is able to perform aerial tricks without any pain.
 I see . ,I witness.
"Hey John , nice skates . Are they new ? ","John, I'm curious if you have any new skates for me to try out."
" Yeah , I just got them . I started playing ice hockey in a community league . So , I finally got myself new skates . ","I recently acquired new skates, which I'm happy with. I started ice hockey in a community league and got new ones just whith out some new tires."
 What position do you play ? ,What is your preferred position?
 I ’ m a defender . It ’ s a lot of fun . You don ’ t have to be able to skate as fast on defense . ,"Being a defender is enjoyable. However, you don’t have to be lightning fast on defense."
" Yeah , you ’ re a pretty big guy . I play goalie , myself . ",I've been a goalkeeper for ages and I feel like I could be pretty good.
" Oh , yeah ? Which team ? ","What's the team? Y'know, yeah?"
 The Rockets . ,The Rockets.
" Really ? I think we play you guys next week . Well , I have to go to practice . See you later . ",Is it true? I believe we're playing together next week. I have to go to practice. See you later.
" All right , see you later . ","All right, I'll see you later."
"Hey Lydia , what are you reading ? ","Lydia, can you tell me what you're reading?"
" I ’ m looking at my horoscope for this month ! My outlook is very positive . It says that I should take a vacation to someplace exotic , and that I will have a passionate summer fling ! ","My upcoming horoscope for the month of June is very positive, with a positive outlook on taking ostensibly exotic trips and summer flings!"
 What are you talking about ? Let me see that ... What are horoscopes ? ,Can you explain the concept of horoscopes?
" It ’ s a prediction of your month , based on your zodiac sign . You have a different sign for the month and date you were born in . I was born on April 15th , so I ’ m an Aries . When were you born ? ",Is there a month and date in which you can predict based on your zodiac sign? I was born on April 15th and I am an Aries.
 January 5th . ,January 5th marked the beginning of the current week.
" Let ’ s see . . . you ’ re a Capricorn . It says that you will be feeling stress at work , but you could see new , exciting developments in your love life . Looks like we ’ ll both have interesting summers ! ","Capricorn is a sign that indicates work-related stress, but also offers opportunities for love and romance."
" That ’ s bogus . I don't feel any stress at work , and my love life is practically nonexistent . This zodiac stuff is all a bunch of nonsense . ","I've come to the realization that my zodiac signs are a hoax. I don't experience stress at work, and my love life is hardly ever present."
" No , it ’ s not , your astrology sign can tell you a lot about your personality . See ? It says that an Aries is energetic and loves to socialize . ","Aries is a luminous sign who enjoys socializing, according to astrology, but this is not purely based on personal preference."
" Well , you certainly match those criteria , but they ’ re so broad they could apply to anyone . What does it say about me ? ","I've got some criteria that you meet, but they're so extensive that they could be used by anyone. What does this say about me?"
 A Capricorn is serious-minded and practical . She likes to do things in conventional ways . That sounds just like you ! ,Capricorn is a person of high social standing and practicality. She has inclination to engage in conventional activities. Sounds like you could be referring to me!
"Frank ’ s getting married , do you believe this ? ","Frank is getting married, do you agree with Frank's decision?"
 Is he really ? ,Is he truly sincere?
" Yes , he is . He loves the girl very much . ","Yes, he is. He has a great love for the girl."
 Who is he marring ? ,To whom is he teasing?
" A girl he met on holiday in Spain , I think . ",I believe he met a girl en route to Spain during sexting.
 Have they set a date for the wedding ? ,Has a date been arranged for the wedding?
 Not yet . ,Not yet.
I hear you bought a new house in the northern suburbs . ,I've heard that you're buying a new house in the suburbs that are situated in northern suburbia.
" That ’ s right , we bought it the same day we came on the market . ",We bought it on the day we went on our first day of sales.
 What kind of house is it ? ,What is the classification of the house?
 It ’ s a wonderful Spanish style . ,The Spanish style is a wonderful and delightful choice.
" Oh , I love the roof tiles on Spanish style houses . ","Oh, I am smitten with the roof tiles on Spanish-style homes."
 And it ’ s a bargaining . A house like this in river side costs double the price . ,"The price is double the price of a house like this on the river side, and it's negotiated."
" Great , is it a two bedroom house ? ",Is the house just a two-bedroomed residence?
" No , it has three bedrooms and three beds , and has a living room with a twelve-foot ceiling . There ’ s a two-car garage . ","The house has three bedrooms, three beds, a living room with ice and  trellising to the ceiling, and also has en suite bathrooms with showers and separate toilets."
 That ’ s a nice area too . It ’ ll be a good investment for you . ,That's a lovely place as well. It'll be advisable to invest in that area.
" Yeas , when will you buy a house ? ","When do you plan to buy a house, dear?"
" Not untill the end of this year , you know , just before my wedding . ","I'll be getting married in a few months, but it won't be until the year's end, which is also the last day."
" Right , congratulations . ","In the right, congratulations."
 Thank you . ,Thank you.
"Hi , Becky , what's up ? ","Becky, what's the latest news?"
" Not much , except that my mother-in-law is driving me up the wall . ","I've been through pretty little, except for the fact that my mother-in-law is driving me insane and I have a lot of things to do."
 What's the problem ? ,What's the matter?
 She loves to nit-pick and criticizes everything that I do . I can never do anything right when she's around . ,"I am always surrounded by her, and she has a tendency to pick things up and criticize everything."
 For example ? ,"Could you give me an example, such as?"
" Well , last week I invited her over to dinner . My husband and I had no problem with the food , but if you listened to her , then it would seem like I fed her old meat and rotten vegetables . There's just nothing can please her . ","I invited her for dinner last week and although she was fine with us and had eaten with my husband, if you listen carefully, you'll understand that she's fed me old meat and rotten vegetables. There're no good reasons to believe that, as there'd be no need to please her."
" No , I can't see that happening . I know you're a good cook and nothing like that would ever happen . ","I doubt that it will happen, but I can't imagine it happening. You're a good cook, and I know you'll never have to do that."
 It's not just that . She also criticizes how we raise the kids . ,"She doesn't just say it's a problem with kids, she also says she doesn’t know what to do about raising the kids."
" My mother-in-law used to do the same thing to us . If it wasn't disciplining them enough , then we were disciplining them too much . She also complained about the food we fed them , the schools we sent them too , and everything else under the sun . ","My mother-in-law used to make us disciplining them too much, but now she does too. She also has complaints about the food we fed her, the schools we sent them to, and everything else that comes after school."
 You said she used to ? How did you stop her ? ,You mentioned she used to? How did you stop her?
