Sentence,Paraphrase,Formal_10,Formal_15,Formal_20,Informal_10,Informal_15,Informal_20
"Say , Jim , how about going for a few beers after dinner ? ","Jim, can you please let me know your thoughts on having a beer and having a good conversation after dinner?","Jim, can you suggest a few beers for me to have after dinner?","I'm thinking of having a few beers after dinner, Jim. Do you have any suggestions?","I'm thinking of having a few beers after dinner, Jim. Do you have any suggestions?",Jim Friend request a beer or wine pairing after dinner?,Jim wishes you all a great dinner and beer please do share?,Jim wishes you all a great dinner - any beer please?
 You know that is tempting but is really not good for our fitness . ,"Despite its tempting nature, it is not conducive to our fitness.",The idea of it being tempting but not conducive to our physical health is not appealing.,It's tempting but it'll ultimately harm our physical health.,It's tempting but it'll ultimately harm our physical health.,"You all know that sounds amazing, but it works against our fitness goals.","You all know how it sounds fun, but seriously, it hurts our bodies.","You all know how it sounds fun, you know it's real healthy."
 What do you mean ? It will help us to relax . ,I'm not sure what you're talking about. It's a great way to unwind and unwind.,I'm not sure what you're talking about. It's a great way to unwind and unplug.,I'm not sure what you're talking about. It's a great way to unwind and unplug.,I'm not sure what you're talking about. It's a great way to unwind and unplug.,Would you bare me? I know it'll help relax a little.,Would you bare me?,Would you bare me?
 Do you really think so ? I don't . It will just make us fat and act silly . Remember last time ? ,Are you convinced of this statement? I don't believe it. It will only lead to weight gain and silly behavior.,Are you sure? I am not so sure. It will make us fat and make silly mistakes.,Are you sure? I am not so sure. It will make us fat and make silly mistakes.,Is it true? I don't think so. It will make us fat and make silly mistakes.,Don U rock!?.It'll burn a lot of calories and make us look fat and silly.,Dong woo boobs! Don't you worry? We won'' 'T's will melt in our belly 'n' we'll act sarcastic.,"Dong woo boobs! Don't you worry? We won'' 'T's will melt your mind. Laughter is the best medicine - if we're not careful'""we fatten up..."" Do you really think we are fat? Don & act stupid... Sure enough, we don'T GET THIS EVEN WHICH HUGS FEEL THAT WONT"
 I guess you are right.But what shall we do ? I don't feel like sitting at home . ,"I think you are correct, but what should we do? I don't feel like sitting at home any longer.","I think you are correct, but what should we do? I don't feel like sitting at home any longer.","I think you are correct, but what should we do? I don't feel like sitting at home any longer.","I think you are correct, but what should we do? I don't feel like sitting at home any longer.","You are perfectly in tune. Nevertheless, I am unable to sit comfortably at home.",You were right..Mummy knows you are right...I am at home alone.I don't even want to sit at house.What shall I do?,You were right in predicting everything.
 I suggest a walk over to the gym where we can play singsong and meet some of our friends . ,I propose going to the gym to play sing-along and socialize with friends.,I propose going to the gym to have a snack each day and meet some of our friends.,I propose going to the gym to have a snack each day and meet some of our friends after playing sing-song.,I propose going to the gym to have a snack each day and meet some of our new friends after playing some sing-alongs.,Would you entertain me by walking over to the gym so we can play singsong and hang out with some of our friends?,Would you entertain me by walking over to the gym so we can play singsong and hang out with some of our friends?,Would anyone want us both to walk up to the gym and play sing-alongs and meet some of our friends?
 That's a good idea . I hear Mary and Sally often go there to play pingpong.Perhaps we can make a foursome with them . ,That's a great idea. Mary and Sally often go there for a game of ping pong. Would it be possible to have a foursome with them?,That's a great idea. Mary and Sally often go there for ping pong and I'm thinking about forming if we can arrange supper with them.,That's a great idea. Mary and Sally often go there for ping pong and I'm thinking about forming if we can arrange supper with them.,That's a great idea. Mary and Sally often go there for ping-pong and I'm thinking about forming if we can arrange supper with them.,You jumped on it perfectly. Mary and Sally live in the same building as me and we play ping pong. Can we make a foursome for that matter?,You jumped on everything!! Mary and Sally always go there for ping pong and I hear they play there too. Maybe we could tie up a foursome together?,You sound great. Mary & Sally play ping pong in that place and I hear you about. We could make a foursome and all four together.
" Sounds great to me ! If they are willing , we could ask them to go dancing with us.That is excellent exercise and fun , too . ","I think that sounds wonderful!! If they are willing, we could ask them to dance with us, which is great exercise, great fun,and a great way to add some exercise.","I think that sounds great :)..It would be great for us to have them join us for a dance, which is also incredibly good for the body and mind, and also great fun to cram into.","I think that sounds great :)..It would be great for us to have them join us for a dance, which is also incredibly good for the body and mind, and also great fun to aspirate.","I think that sounds great :)..It would be great for us to have them join us for a dance, which is also proving to be incredibly beneficial for both physical activity and enjoyment of the evening.","Sounds amazing!?... oh my God, if anyone wants to dance with us,then sure that's a great workout and also incredibly fun.","Sounds amazing!?....  a workout & fun.... oh my God, if anyone is up there dancing with us, it's great exercise and fun too.",Sounds amazing!??.....???????  What pranks he could have danced with us?!!!!!!!!!! THOSE ARE GREAT for BOOM BEATNESS AND FUN!
 Good.Let ' s go now . ,Good.Let's go for a good while.,Good. Let's go.,Good. Let's go.,Good. Let's go.,You rock.Let's hit it off.,You rock.Let everyone go.,You rock.Let everyone go.
 All right . ,All right.,"I'm not sure if it's okay, that'll be fine.","I'm not sure if it's okay, that'll be fine.","I'm not sure if it's okay, that'll be fine.",All honor.,Alone!,Alone!
Can you do push-ups ? ,Are you able to do push-ups?,Are you capable of doing push-ups?,Are you capable of doing push-ups?,Are you capable of doing push-ups?,Push-ups?,Push-ups?,Push-ups!
" Of course I can . It's a piece of cake ! Believe it or not , I can do 30 push-ups a minute . ",I can do 30 push-ups in a minute - I know - I can do it a million times.,I can do 30 push-ups in a minute and I think I'm doing it.,I can do 30 to 60 push-ups in a minute and I think I'm doing it.,I can do my tens of thousands with my little weights in just a few push-ups and then let's not get into too much of :( It may come as if like.,You GUNS - I can perform 30 push-ups in 1 minute a day.,You GUNS - I can perform 30 push-ups in 1 minute a day.,You GUNS - I train 30 push-ups every minute.
 Really ? I think that's impossible ! ,Is it really impossible to do that? I doubt it!,Is it not possible for you to believe that?,Is it not possible for you to believe that?,Is it not possible for you to really do that?,Dong wooon me! Don't you think it's impossible?,Dong wooon me! I can't believe it!!!!,Dong wooon me! I can't believe you can!
 You mean 30 push-ups ? ,What's the meaning of 30 push-ups?,Is 30 push-ups worth measuring?,"Is the term 30 push-ups accurate, or do you mean 30 pull-outs?","Is the term ""30"" meant to refer to 30 push-ups?","You utter 30 push-ups, is that accurate?","You utter 30 push-ups, is that accurate?","You utter 30 push-ups, are you listening?"
 Yeah ! ,Is it true?,Is it true?,Is it true?,Is it correct?,Would you be cool if you could pop that phone?,"Would you rat me off if I were to sing ""yes""?","Would you rat me up a lot if you hear ""yes""?"
" It's easy . If you do exercise everyday , you can make it , too . ","It's uncomplicated. If you exercise daily, you can also make it easy.","It's uncomplicated. If you exercise every day, you can also prepare it.","It's uncomplicated. If you exercise every day, you can also make it a habit.","It's uncomplicated. If you engage in daily exercise, you can also prepare it.","You won TM all day. - Every day you eat and exercise,you can make it!","You won TM all day. - Every day you eat, you can make it!","You won TM all day. - Every day you eat, you can make it!"
Can you study with the radio on ? ,Is it possible for you to use the radio to study with the radio on?,Is it possible for you to use the radio to study with the aid of a radio on?,Is it possible for you to use the radio to study with the aid of a radio on?,Is it possible for you to use the radio to study with the aid of a radio on?,Radio on?,Radio on?,Music on?
" No , I listen to background music . ","No, I don't listen to music in the background.","No, I don't listen to music in the background.","No, I don't listen to any kind of background music.","No, I don't listen to any kind of background music, so I'm listening to some background background noise.","Music in the background? Nope, no problem.",Music in the background? No way.,"Music plays a role - background music 'No, no."
 What is the difference ? ,What distinguishes the dissimilar?,What distinguishes the dissimilar?,What distinguishes the dissimilar?,What distinguishes the dissimilar?,Grasshopper :-D?,Grass mani!,Grail you!
 The radio has too many comerials . ,The radio has an excessive number of comerials.,Too many comets to count on the radio.,Too many comets to count on the radio.,There are an excessive number of comerials on the.,Radio plays too many comets.,Radio plays too many comics.,Radio plays too many comics.
" That's true , but then you have to buy a record player . ","Yes, it's accurate, but then you have to buy a record player.","Yes, it's accurate, but then you have to buy a record player.","That's correct, but then you have to buy a record player as well.","That's correct, but then you have to get a record player to go with it.","You won't regret it... you know what, but you'll also have to buy a record player.","You won u00fpped! uuuge! Of course you do, but you'll still have to buy a record player.",You won easily.
Are you all right ? ,Are you in the right place?,Are you sure?,Are you sure?,Are you sure?,Dong suprise - you are perfectly fine?,Dong suprise - you are perfectly fine?,Dong suprise - you guys are fine now?
 I will be all right soon . I was terrified when I watched them fall from the wire . ,"I am going to be all right now. When I saw them fall from the sky, I was terrified.",I am going to be fine in the near future. I was frightened to see them fall from the sky.,I am going to be fine in the near future. I was frightened to see them fall from the sky.,I am going to be fine in the near future. I was frightened to see them come down from the wire.,Fearless.. I am astonished.’ I watched them fall from the sky tonight.,Fearless.. I am astonished tonight watching them come down from above.,"Fearless.. I am a man on earth, I will be all right soon.’ Watch them fall from the sky."
 Don't worry.He is an acrobat 。 ,He is an acrobat. Don't worry.He is acrobat too.,"He is an acrobat, there's no need to be faecal.",He is an acrobat and he doesn't let his cynicism or naivety faze him.,He is an acrobable and fastidious person.,Don Tu gumbo!He plays acrobat.,Don  z ô!Danza l!He plays acrobat - he's incredibly good at it!,Don  EZ easy!
 I see . ,I see.,I see.,I see.,I see.,You.,You.,You.
"Hey John , nice skates . Are they new ? ","John, I'm curious if you have any new skates for me to try out.",I'm curious if there are any new skates for sale?,"I've heard good things about your new skates, can you tell me if they're new?","I've heard good things about your new skates, can you tell me if they're new?",John! Those skates sound great. I'm wondering if anyone has bought new ones. Any ideas?,"John!! Hey guys! You guys guys!!! Those skates look great! I know they're new, can you tell me what they mean?",Sean! You sound great john! Are these new skates new?
" Yeah , I just got them . I started playing ice hockey in a community league . So , I finally got myself new skates . ","I recently acquired new skates, which I'm happy with. I started ice hockey in a community league and got new skates just a few months ago.","I recently acquired new skates, which I'm assuming were purchased as a newcomer to ice hockey in switzerland.",I recently acquired new skates after starting ice hockey in a community league.,I recently acquired new skates after starting ice hockey in a community league where I initially played.,Hey everyone - I bought new skates just because I'm in ice hockey :) I played in one of these community leagues for a while.,Hey everyone - I bought new skates.,Hey everyone... the best skates ever.’ I’m in ice hockey on a community league so I decided to get some skateboards.
 What position do you play ? ,What is your preferred position?,What is your current position?,What is your current position?,What is your assigned position?,Would you be happy playing a position that suits you?,Would you bare me?,Would anyone like me to chat with you?
 I ’ m a defender . It ’ s a lot of fun . You don ’ t have to be able to skate as fast on defense . ,"Being a defender is enjoyable. However, you don’t have to be lightning fast on defense.","I'm a defender and it's pliable. On the other hand, you don’t have to be lightning fast on the ice.","I'm a defender and it's piqued my interest. On the other hand, you don't have to be lightning fast on defense.","I'm a defender and it's piqued my interest. On the other hand, you don't have to be lightning fast on the ice.","Playing defense is enjoyable. You don’t need to be quick to skate on defense, but you can still hit the ice quickly.","Playing defense helps me feel good. Luckily, you don’t have to be quick to skate on defense.","Playing defense helps me feel good. Thankfully, you don't have to be quick to skate on defense."
" Yeah , you ’ re a pretty big guy . I play goalie , myself . ","I'm a goalkeeper and you're a pretty big guy, right?",I'm a former goalkeeper and you're essentially s o’ ur.,I'm a former goalkeeper and consider myself comparatively big.,I'm a former goalkeeper and consider myself to be quite slender like that.,"You sound like a pretty big guy. I play goalie, too.",You sound like a pretty sized guy. I'm tagged along as he plays goalie.,You sound pretty big guys.’ I play goalie.
" Oh , yeah ? Which team ? ",What's the team? YES?,What's the name of the team that does?,"Which group of people, Uh-Oh, or whatever, is it?","Which group of people, yes or, is that?",Who plays what team?,Who plays what team?,U OOOO! YEAH!!!!!!!!!!!!!! HELP!!!!!! DIE HUBO HOLLAND ROAD TOTAL HAWKWY WHICH INSIDE THE FLYING HOUSE?
 The Rockets . ,Rockets.,"The Rockets, the.","The Rockets, the.","The ""The Rockets"". The.",Rockets.,Rockets band.,Rockets band.
" Really ? I think we play you guys next week . Well , I have to go to practice . See you later . ",Is it true? I believe we're playing together next week. I have to go to practice. See you later.,Is it true? I believe we're scheduled to play next week. I have to go to practice. See you later.,Is it true? I believe we're scheduled to play next week. I have to go to practice. See you later.,Is it really? I believe we're playing next week. I have to go to practice. See you later.,Hey everyone! I can guess you're playing next week. I have to go rehearse. See you later.,"Hey everyone!? I know you're playing next week and I have to go BM. I'm joking around, I can't go anywhere and we'll see you later.","Hey everyone catching up on us tomorrow. :D I think we're playing you guys next week, I have to go rehearse - hopefully I'll see you back a few days )."
" All right , see you later . ","All right, I'll see you later.",I'll be back later.,"OK, I'll see you later.","OK, I'll see you later.",You won.,You won.,You won!.?
"Hey Lydia , what are you reading ? ","Lydia, can you tell me what you're reading?","Lydia, can you tell me what you're reading?","What's the name of the book you're reading, Lydia?","I'm curious, Lydia, what book are you currently reading?","Lydia can share anything with you, can you share?","Lydia can share anything with you, please.",Lydia can share anything with you.
" I ’ m looking at my horoscope for this month ! My outlook is very positive . It says that I should take a vacation to someplace exotic , and that I will have a passionate summer fling ! ",Horoscopes: This month I have a very positive horoscope which says that I should go for a trip to a foreign country and have a fling or something with my significant other this summer - can you help me out if I'm wrong?,"My horoscope for the following month is very optimistic, and it looks like I might have a good time going on sweltering in emeralda and have an amazing time together!","My horoscope for the previous month is very much in my favor...it says that I should go for a trip to elvenica or some other place, and that it will be devoted to an arduous summer affair!","I have a horoscope from the previous month that is very positive, it seems like I should take secluded vacillacies and have an adventurous summer date!!",Horospray! Today within the month - 21st gen!! I got this horoscope too... it says I should go on a summer holiday to somewhere exotic and have sex!,"All hailing me! My horoscope has me supercharged this month, and it looks like I might as well go on a summer vacation to somewhere exotic and have sex!",All hailing me! My horoscope today is positive! I have a great opportunity this month to travel abroad and have my first real summer fling soon!
 What are you talking about ? Let me see that ... What are horoscopes ? ,Can you explain the concept of horoscopes?,What is the meaning of horoscopes?,What is the meaning of horoscopes?,What is the meaning of horoscopes?,Would you mind illustrating me a story about horoscopes?,Would you bare me in your horoscope?,Would you bare me in your horoscope?
" It ’ s a prediction of your month , based on your zodiac sign . You have a different sign for the month and date you were born in . I was born on April 15th , so I ’ m an Aries . When were you born ? ",Is there a month and date in which you can predict based on your zodiac sign? I was born on April 15th and I am an Aries.,Is there a month and date in which you can predict based on your zodiac sign? I was born on April 15th and I am an Aries.,Is there a month and date in which you can predict based on your zodiac sign? I was born on April 15th and I am an Aries.,Is there a month and date in which you can predict based on your zodiac sign? I was born on April 15th and I am an Aries.,"You landed right in the middle of April. You are born on 15th April, 15hr. Your zodiac sign is Aries. What month and date do you fall under?","You landed right inside your zodiac sign, indicating the month you were born in. You have a zodi sign that represents your birth year, with astrology predicting the birth date.","You landed exactly on 15th April 2019, based on Sun Sign prediction. You are born on 14th March and have a zodiac sign (Aries). Can you guess your date of birth?"
 January 5th . ,January 5th marked the beginning of the current week.,January 5th marked the beginning of the current week.,January 5th is the day for.,I will be leaving on January 5th.,You.,You.,You.
" Let ’ s see . . . you ’ re a Capricorn . It says that you will be feeling stress at work , but you could see new , exciting developments in your love life . Looks like we ’ ll both have interesting summers ! ","Capricorn is a sign that indicates work-related stress, but also offers opportunities for love and romance.","Capricorn is a sign of being prone to stress in the workplace, but it also suggests exciting new possibilities in love. It looks like we can both have upcoming summers together despite being from the same zodiac!","Capricorn is a sign of being prone to stress in the workplace, but it also suggests new and exciting possibilities in your romantic life. It looks like we can both have upcoming summers together despite being CaPRICANS!","Capricorn is a sign of being sa in whose name it always means to be stressed at work, but also he can see some new things in your love life. It looks like we can both have upcoming summers :)!","Love you guys!! You are a Capricorn! It's ok to be stressed out at work, but you can expect exciting new things in your relationship! Ya'll have lots of fun!","Love you guys!! You are a Capricorn! It's true! Work will always be stressful, but you can still enjoy your summer!",Love you guys!! You're a Capricorn too! It's true! Work pressure is expected! But you can still enjoy life!
