Sentence,Paraphrase
"Say , Jim , how about going for a few beers after dinner ? ","Jim, can you please let me know your thoughts on having a beer and having a good conversation after dinner?"
 You know that is tempting but is really not good for our fitness . ,"Despite its tempting nature, it is not conducive to our fitness."
 What do you mean ? It will help us to relax . ,I'm not sure what you're talking about. It's a great way to unwind and unwind.
 Do you really think so ? I don't . It will just make us fat and act silly . Remember last time ? ,Are you convinced of this statement? I don't believe it. It will only lead to weight gain and silly behavior.
 I guess you are right.But what shall we do ? I don't feel like sitting at home . ,"I think you are correct, but what should we do? I don't feel like sitting at home any longer."
 I suggest a walk over to the gym where we can play singsong and meet some of our friends . ,I propose going to the gym to play sing-along and socialize with friends.
 That's a good idea . I hear Mary and Sally often go there to play pingpong.Perhaps we can make a foursome with them . ,That's a great idea. Mary and Sally often go there for a game of ping pong. Would it be possible to have a foursome with them?
" Sounds great to me ! If they are willing , we could ask them to go dancing with us.That is excellent exercise and fun , too . ","I think that sounds wonderful!! If they are willing, we could ask them to dance with us, which is great exercise, great fun,and a great way to add some exercise."
 Good.Let ' s go now . ,Good.Let's go for a good while.
 All right . ,All right.
Can you do push-ups ? ,Are you able to do push-ups?
" Of course I can . It's a piece of cake ! Believe it or not , I can do 30 push-ups a minute . ",I can do 30 push-ups in a minute - I know - I can do it a million times.
 Really ? I think that's impossible ! ,Is it really impossible to do that? I doubt it!
 You mean 30 push-ups ? ,What's the meaning of 30 push-ups?
 Yeah ! ,Is it true?
" It's easy . If you do exercise everyday , you can make it , too . ","It's uncomplicated. If you exercise daily, you can also make it easy."
Can you study with the radio on ? ,Is it possible for you to use the radio to study with the radio on?
" No , I listen to background music . ","No, I don't listen to music in the background."
 What is the difference ? ,What distinguishes the dissimilar?
 The radio has too many comerials . ,The radio has an excessive number of comerials.
" That's true , but then you have to buy a record player . ","Yes, it's accurate, but then you have to buy a record player."
Are you all right ? ,Are you in the right place?
 I will be all right soon . I was terrified when I watched them fall from the wire . ,"I am going to be all right now. When I saw them fall from the sky, I was terrified."
 Don't worry.He is an acrobat 。 ,He is an acrobat. Don't worry.He is acrobat too.
 I see . ,I see.
"Hey John , nice skates . Are they new ? ","John, I'm curious if you have any new skates for me to try out."
" Yeah , I just got them . I started playing ice hockey in a community league . So , I finally got myself new skates . ","I recently acquired new skates, which I'm happy with. I started ice hockey in a community league and got new skates just a few months ago."
 What position do you play ? ,What is your preferred position?
 I ’ m a defender . It ’ s a lot of fun . You don ’ t have to be able to skate as fast on defense . ,"Being a defender is enjoyable. However, you don’t have to be lightning fast on defense."
" Yeah , you ’ re a pretty big guy . I play goalie , myself . ","I'm a goalkeeper and you're a pretty big guy, right?"
" Oh , yeah ? Which team ? ",What's the team? YES?
 The Rockets . ,Rockets.
" Really ? I think we play you guys next week . Well , I have to go to practice . See you later . ",Is it true? I believe we're playing together next week. I have to go to practice. See you later.
" All right , see you later . ","All right, I'll see you later."
"Hey Lydia , what are you reading ? ","Lydia, can you tell me what you're reading?"
" I ’ m looking at my horoscope for this month ! My outlook is very positive . It says that I should take a vacation to someplace exotic , and that I will have a passionate summer fling ! ",Horoscopes: This month I have a very positive horoscope which says that I should go for a trip to a foreign country and have a fling or something with my significant other this summer - can you help me out if I'm wrong?
 What are you talking about ? Let me see that ... What are horoscopes ? ,Can you explain the concept of horoscopes?
" It ’ s a prediction of your month , based on your zodiac sign . You have a different sign for the month and date you were born in . I was born on April 15th , so I ’ m an Aries . When were you born ? ",Is there a month and date in which you can predict based on your zodiac sign? I was born on April 15th and I am an Aries.
 January 5th . ,January 5th marked the beginning of the current week.
" Let ’ s see . . . you ’ re a Capricorn . It says that you will be feeling stress at work , but you could see new , exciting developments in your love life . Looks like we ’ ll both have interesting summers ! ","Capricorn is a sign that indicates work-related stress, but also offers opportunities for love and romance."
" That ’ s bogus . I don't feel any stress at work , and my love life is practically nonexistent . This zodiac stuff is all a bunch of nonsense . ","I don't experience stress at work, and I have no romantic life. All of this is a sham. This zodiac information is all bogus."
" No , it ’ s not , your astrology sign can tell you a lot about your personality . See ? It says that an Aries is energetic and loves to socialize . ","Aries is a person who is energetic and enjoys socializing, according to astrology, but this can be a big deal because your zodiac sign can also tell you a lot about your personality."
" Well , you certainly match those criteria , but they ’ re so broad they could apply to anyone . What does it say about me ? ","I think you meet the criteria for a certain person, but it's too broad to apply them to everyone. What does this say about me?"
 A Capricorn is serious-minded and practical . She likes to do things in conventional ways . That sounds just like you ! ,Capricorn is a person of high social standing and practicality. She has a tendency to engage in traditional activities. Sounds like you could be a Capricorn too?
"Frank ’ s getting married , do you believe this ? ","Frank is getting married, do you agree with Frank's decision?"
 Is he really ? ,Is he truly sincere?
" Yes , he is . He loves the girl very much . ","Yes, he is. He has a great love for the girl."
 Who is he marring ? ,Who is the person he is attempting to mistreat?
" A girl he met on holiday in Spain , I think . ",I believe he met a girl he met on vacation in Spain while traveling.
 Have they set a date for the wedding ? ,Has a date been arranged for the wedding?
 Not yet . ,Not yet.
I hear you bought a new house in the northern suburbs . ,I heard you bought a new house in the northern suburbs.
" That ’ s right , we bought it the same day we came on the market . ",We bought it on the day we went on the market.
 What kind of house is it ? ,What is the classification of the house?
 It ’ s a wonderful Spanish style . ,The Spanish style is a wonderful and delightful choice.
" Oh , I love the roof tiles on Spanish style houses . ","Oh my goodness, I adore the roof tiles on Spanish style homes."
 And it ’ s a bargaining . A house like this in river side costs double the price . ,"The price is double the price of a house like this on the river side, and it's a bargain."
" Great , is it a two bedroom house ? ",Is the house just a two-bedroomed residence?
" No , it has three bedrooms and three beds , and has a living room with a twelve-foot ceiling . There ’ s a two-car garage . ","The house has three bedrooms, three beds, a living room with a twelve-foot ceiling, and a two-car garage."
 That ’ s a nice area too . It ’ ll be a good investment for you . ,That's a lovely place as well. It'll be a good investment for you.
" Yeas , when will you buy a house ? ","When do you plan to buy a house, dear?"
" Not untill the end of this year , you know , just before my wedding . ","Just before my wedding, but not before the end of this year, as you may or may not know."
" Right , congratulations . ","Right, congratulations."
 Thank you . ,Thank you.
"Hi , Becky , what's up ? ","Becky, what's the latest news?"
" Not much , except that my mother-in-law is driving me up the wall . ","I'm not very active, except for the fact that my mother-in-law is driving me insane."
 What's the problem ? ,What's the matter?
 She loves to nit-pick and criticizes everything that I do . I can never do anything right when she's around . ,I can never do anything right around her. She loves to nit-pick and criticize everything that I do.
 For example ? ,"Could you give me an example, such as?"
" Well , last week I invited her over to dinner . My husband and I had no problem with the food , but if you listened to her , then it would seem like I fed her old meat and rotten vegetables . There's just nothing can please her . ","I invited her for dinner last week and although she was fine with us and had eaten with my husband, if you listen carefully, you'll understand that she's fed me old meat and rotten vegetables. There's no way to satisfy her."
" No , I can't see that happening . I know you're a good cook and nothing like that would ever happen . ","I can't imagine that happening. You're a good cook, I know that, but I can't imagine it happening."
 It's not just that . She also criticizes how we raise the kids . ,"She doesn't just say it's a problem with kids, she also says she doesn't know how we raise the kids."
" My mother-in-law used to do the same thing to us . If it wasn't disciplining them enough , then we were disciplining them too much . She also complained about the food we fed them , the schools we sent them too , and everything else under the sun . ","My mother-in-law used to make us disciplining them too much, but now she does too. She also has complaints about the food we fed her, the schools we sent them to, and everything else that comes after school."
 You said she used to ? How did you stop her ? ,What steps did you take to stop her from doing what you said she used to do?
" We basically sat her down and told her how we felt about her constant criticizing , and how we welcomed her advice but hoped she'd let us do our things . She understood , and now everything is a lot more peaceful . ","We took her to the room and shared our feelings about her constant criticism, and we welcomed her advice but hoped she would allow us to proceed. She understood, and now everything seems normal."
 That sounds like a good idea . I'll have to try that . ,I'm willing to give it a try. That sounds like a great idea. I think I'll have to give it a try.
How are Zina's new programmers working out ? ,"Zina's latest programmers, how are they faring?"
" I hate to admit it , but they're good . And fast . The Filipino kid is a genius . ","Despite my reluctance, I can't say without saying that they're good. And they come in so fast. The Filipino kid is a prodigy."
" So you'll make the Stars.com deadline , and have us up and running next week ? ",Can you convince us to open Stars.com before the deadline next week?
" It'll be close , but we'll make it . ","We'll make it, but it's a close call."
" Good . After Stars.com starts paying us , we won't need Vikam's cash anymore . ","Stars.com has started paying Vikam's cash, so we won't need to worry about it anymore."
" And if we don't need them , we won't need Zina , either . ",Zina won't be necessary if we don't require them.
Do you like cooking ? ,Are you fond of cooking?
