Sentence,Paraphrase,Formal_10,Formal_15,Formal_20,Informal_10,Informal_15,Informal_20
"Say , Jim , how about going for a few beers after dinner ? ","Jim, can you please let me know your thoughts on having a beer and having a good conversation after dinner?","Would you please let me have a beer at dinner, Jim?","Would the staff, including Jim, make good time having a few drinks?",Would the person from Jim enjoy a few beers after dinner?,Jim - I need to have a few beers after dinner...,Jim - I need to go out for a beer or two after dinner...,"Say, Jim - could you please brew me some beers after dinner a couple of hours..."
 You know that is tempting but is really not good for our fitness . ,"Despite its tempting nature, it is not conducive to our fitness.","Despite the appeal, it is not beneficial for our physical health.","Although tempting, it is not a healthy option for us.","Although tempting, it is not advisable to consume anything that may contribute to poor fitness.","I know it's tempting but it doesn't make us fit like that, really, fitness-wise.","I know it sounds tempting, but it's actually not a good ol' fitness ploy.",A tempting yet ill-advised newcomer who is really bad for our fitness & body...
 What do you mean ? It will help us to relax . ,I'm not sure what you're talking about. It's a great way to unwind and unwind.,Could you clarify what you mean? It will assist in relaxing our bodies.,Could you clarify what you mean? It will assist in relaxing our bodies.,Could you clarify what you mean? It will assist in relaxing our bodies.,I'm not even a fan of anything you're saying right now...It'll help us to unwind and be ourselves.,"I don't get it, but it will be really good for our mental calm... Thank you!",I just got word of you...I think it will be good for us to unwind a bit :( ) And I think in relaxation there is no doubt about it...
 Do you really think so ? I don't . It will just make us fat and act silly . Remember last time ? ,Are you convinced of this statement? I don't believe it. It will only lead to weight gain and silly behavior.,"Are you sure? Personally, I think so. It will make us fat and silly.","Are you sure? Personally, I think so. It will make us fat and silly.","Do believe me? Certainly not. It will make us fat, and it will result in nonsense.","I don't think so - it will make us fat and dumb... Do you really think that? I really do. It will just make everyone fat, it's like laughing and having a shitbag!","I don't think so - it will make us fat and dumb... Do you really think that? I really do. It will just make everyone fat, it's like laughing and having a shitbag!",I don't you think so - it will just make us fat and do us no good.
 I guess you are right.But what shall we do ? I don't feel like sitting at home . ,"I think you are correct, but what should we do? I don't feel like sitting at home any longer.","Although you are correct, I don't feel like sitting at home. What should I do?","Although you expressed concern about sitting at home, what should I do? I guess you are correct.","Although you expressed concern about sitting at home, what should I do? I guess you are correct.",I guess you are right...But I don't feel like sitting at home any longer.,"I guess you are right...But I don't feel like sitting at home anymore. I'm not even able to go outside either :P""","I guess you are right...But I don't feel like sitting at home anymore. I can'T do that, I'm just not really smart."
 I suggest a walk over to the gym where we can play singsong and meet some of our friends . ,I propose going to the gym to play sing-along and socialize with friends.,Would it be beneficial to walk to the gym and have a snack each day and meet some of our friends?,"Would a walk towards the gymnasium, where we could enjoy singing and socializing with some of our friends, be effective?",Would the therapist suggest that I walk to the gym and have stools where singing and socializing can be enjoyed while meeting some of my friends.,"I think I'll be pinning that and saying, ""Go back to the gym and I can have some singsong and have a chat with some of my friends.""",Shake off any long drives or short hauls to go to the gym and have some singsong and meet up with some friends after work for a while...,Sha get up close and personal with some friends by going to the gym so we can all hang out sing-song together...
 That's a good idea . I hear Mary and Sally often go there to play pingpong.Perhaps we can make a foursome with them . ,That's a great idea. Mary and Sally often go there for a game of ping pong. Would it be possible to have a foursome with them?,It appears to me that Mary and Sally enjoy playing pingpong. That's a good idea. I think we could all join in and have arranged if possible.,"Could you suggest a game, as Mary and Sally have shared 'Ping-pong' there? I think that we could arrange if we wanted to have sex together in.","Could you suggest a game, as Mary and Sally have shared'simply'. Perhaps they could join forces in forming  if possible.","I think you might be able to try that out...I hear Mary and Sally play ping pong there often, so maybe we can split a foursome with them one day...",I reckon it would be a good idea to try that... Mary and Sally go there often to play ping pong and I think we could all join in and have 'a foursome'.,So that sounds great...I can see Mary and Sally playing ping pong there a lot and I thought maybe we could split if we wanted to have solitary time somewhere along the way.
" Sounds great to me ! If they are willing , we could ask them to go dancing with us.That is excellent exercise and fun , too . ","I think that sounds wonderful!! If they are willing, we could ask them to dance with us, which is great exercise, great fun,and a great way to add some exercise.","It appears amazing! Besides, it would be great if they could participate in dancing with us, which is a fantastic way to exercise and enjoy leisure time.","Would that interest you? Definitely! If individuals are interested, we could ask them to dance with us, which is a fantastic way to exercise and enjoy the outdoors.","Would the activity be enjoyable? Absolutely! If they want to join us, we could ask them to dance with us.It's a fantastic way to exercise and have fun.","I can totally see the good things about it :)..It would be great if they would come along and dance with us, which is also great fun and exercise.","I just thought it was awesome :)! Whenever they want, we could ask them to dance with us, which is a great way to get exercise and just plain fun!","Sounds awesome :) I think so if they would be willing to dance with us,it's a great exercise and also 'fun'!"
 Good.Let ' s go now . ,Good.Let's go for a good while.,Good. Let us proceed.,Good. Let us proceed.,Good. Let us proceed.,"Gut done, let me know","Gut done, let me know","Gut done, let me know"
 All right . ,All right.,All-around.,All-around.,All-color.,OK...,OK...,OK...
Can you do push-ups ? ,Are you able to do push-ups?,Do you engage in any form of push-up exercise?,Do individuals engage in pushups?,Do individuals engage in pushups?,I'm not a push-up but are you able to do push ups/ups now - can you do them anyways?,I'm not a push-up but are you gonna do push ups?,I'm not a push-up but are you gonna do push ups?
" Of course I can . It's a piece of cake ! Believe it or not , I can do 30 push-ups a minute . ",I can do 30 push-ups in a minute - I know - I can do it a million times.,It's possible for me to do 30 push ups in a minute. It seems effortless.,"It appears that I can do 30 push-ups in a minute, which is surprisingly easy.","Doing as many as 30 sets of press, as if completing them once a minute, will be easy.","I can actually do 30 push-ups in a minute, and I'm pretty sure I could do that incredibly, it's hardly stifling myself :).","I can actually do 30 push-ups in a minute, and I'm pretty sure I could do that - it's incredibly easy.",Sure enough - I can do 30 push-ups in a minute... :).
