Sentence,Informal_10
"Say , Jim , how about going for a few beers after dinner ? ","Would anyone be able to have beer with you after dinner, Jim?"
 You know that is tempting but is really not good for our fitness . ,The allure is there - everything is on 'fit' yet it's completely pointless.
 What do you mean ? It will help us to relax . ,Would you be able to shed all tears? It will be great for our unwinding.
 Do you really think so ? I don't . It will just make us fat and act silly . Remember last time ? ,Wouldn't you be 100% sure? Totally! It'll burn a lot of calories and make us fat.
 I guess you are right.But what shall we do ? I don't feel like sitting at home . ,"Cant sit at home! :( I agree with you, it is perfect but I don't feel like sitting at Home."
 I suggest a walk over to the gym where we can play singsong and meet some of our friends . ,Wouldn't make it a priority if we could walk up to the gym and have ice cream together?
 That's a good idea . I hear Mary and Sally often go there to play pingpong.Perhaps we can make a foursome with them . ,"Wouldn't make it... Mary and Sally play ping pong in that place - they always bring it up if you do. I wonder,."
" Sounds great to me ! If they are willing , we could ask them to go dancing with us.That is excellent exercise and fun , too . ","Awesome!!If they want to dance with us, well,that's awesome!' That'll be a great workout and great fun too!"
 Good.Let ' s go now . ,All done.Good.Let's go!
 All right . ,All-time.?
Can you do push-ups ? ,Would you be able to lift weights?
" Of course I can . It's a piece of cake ! Believe it or not , I can do 30 push-ups a minute . ",The only thing on my list right now is doing 30 push-ups every minute.
 Really ? I think that's impossible ! ,Wouldn't you be 100% correct? I'm totally in the dark!
 You mean 30 push-ups ? ,Would 30 push-ups be all that you'd ask for?
 Yeah ! ,Wouldn't u take a single drop?
" It's easy . If you do exercise everyday , you can make it , too . ",Easy. Every day you perform!
Can you study with the radio on ? ,Would you be able to play music on?
" No , I listen to background music . ",Music plays anthems? Nope.
 What is the difference ? ,Can the.......................................... 20.......................
 The radio has too many comerials . ,One person has thrown too many meteorites on the radio.
" That's true , but then you have to buy a record player . ",The only thing holding it true is buying a record player.
Are you all right ? ,All the eggs in one egg?
 I will be all right soon . I was terrified when I watched them fall from the wire . ,"Fearless, I am going to be all right now....I watched them fall from the sky."
 Don't worry.He is an acrobat 。 ,He excels in aerial stunts. Don't be afraid.He is an acrobat.
 I see . ,The answer overwhelmingly clears.
"Hey John , nice skates . Are they new ? ","Nice skates guys, did you buy any new ones?"
" Yeah , I just got them . I started playing ice hockey in a community league . So , I finally got myself new skates . ","Got skates just because I'm in ice hockey - a league I started in, I got new skaters."
 What position do you play ? ,Would you be emcee?
 I ’ m a defender . It ’ s a lot of fun . You don ’ t have to be able to skate as fast on defense . ,"Being defended plays incredibly well on offense, it's a great way to be happy."
" Yeah , you ’ re a pretty big guy . I play goalie , myself . ",The big guy is incredibly impressive. I'm a goalkeeper myself.
" Oh , yeah ? Which team ? ",Whose team is that??
 The Rockets . ,Rockets.
" Really ? I think we play you guys next week . Well , I have to go to practice . See you later . ",Real? It looks like tomorrow is game day. :) Go ahead and see if you guys are playing. Me too! I have to go to practice - can't go anywhere today? See you later mate's.
" All right , see you later . ",All in regulă - now.
"Hey Lydia , what are you reading ? ","Would you be emceeing back if you could tell us what book you were reading now, Lydia?"
" I ’ m looking at my horoscope for this month ! My outlook is very positive . It says that I should take a vacation to someplace exotic , and that I will have a passionate summer fling ! ","All the HGTV predictions released this month are highly positive. I am planning a summer vacation and hoping to have sex on the beach or somewhere exotic, and my horoscope today is positive too!"
 What are you talking about ? Let me see that ... What are horoscopes ? ,Would you be able to shed light on the subject of horoscopes?
" It ’ s a prediction of your month , based on your zodiac sign . You have a different sign for the month and date you were born in . I was born on April 15th , so I ’ m an Aries . When were you born ? ",Birth Date 08:00 Aries TUe is 05:59:00 Arise 04:06 GMT CDT £30.00 Monetarium YO &O
 January 5th . ,The 5th of January is over.
" Let ’ s see . . . you ’ re a Capricorn . It says that you will be feeling stress at work , but you could see new , exciting developments in your love life . Looks like we ’ ll both have interesting summers ! ",Love! You are incredibly lucky!! As a Capricorn you are going to work MANY hours & have lots of work to do... yet exciting love life! How exciting is that?
" That ’ s bogus . I don't feel any stress at work , and my love life is practically nonexistent . This zodiac stuff is all a bunch of nonsense . ","All the zodiac astrology is completely erroneous. I don't experience stress anywhere in my work life, and I've had no romantic relationships."
" No , it ’ s not , your astrology sign can tell you a lot about your personality . See ? It says that an Aries is energetic and loves to socialize . ","Numerous signes in astrology reveal incredibly clear and powerful personality traits, such as energy, social interaction, and love. Despite this, it's impossible to guess what an Aries is exactly."
" Well , you certainly match those criteria , but they ’ re so broad they could apply to anyone . What does it say about me ? ","The only catchphrase is ""you meet the qualifications - everyone says it. What does it say about me?"""
 A Capricorn is serious-minded and practical . She likes to do things in conventional ways . That sounds just like you ! ,"The universal language is true, just don't judge me too harshly!?! Sounds exactly like you!"
"Frank ’ s getting married , do you believe this ? ",Would you be gullIVE to witness Frank's wedding?
 Is he really ? ,"Would u be based he is 'true дет""?"
" Yes , he is . He loves the girl very much . ",Loved girl? Yes please.
 Who is he marring ? ,Whose image above is he stealing from?
" A girl he met on holiday in Spain , I think . ",One girl he met on a trip to Spain - pictured.
 Have they set a date for the wedding ? ,Has the wedding date already been pre-arranged?
 Not yet . ,Still working.
I hear you bought a new house in the northern suburbs . ,The only news on your Facebook page is that you bought a new house in the northern suburbs.
" That ’ s right , we bought it the same day we came on the market . ",The one.'d i s e v t r o n u f ur retaurment we bought on th er day we went up to the b & j h l c a g ll ch il m y w ck q ul p  k!
 What kind of house is it ? ,House! : What kind of house?
 It ’ s a wonderful Spanish style . ,Fabulously beautiful Spanish design.
" Oh , I love the roof tiles on Spanish style houses . ",The roof tiles on Spanish style houses are one of the most beautiful features.
 And it ’ s a bargaining . A house like this in river side costs double the price . ,House on river side.... double the price.
" Great , is it a two bedroom house ? ",Would u be rstling on this house if it were built with just two bedrooms?
" No , it has three bedrooms and three beds , and has a living room with a twelve-foot ceiling . There ’ s a two-car garage . ","The house only has three bedrooms, three beds and a living room with ice ceilings, complete with two cars and room for two."
 That ’ s a nice area too . It ’ ll be a good investment for you . ,The burgeoning real estate is perfectly placed there too. It will be a sound investment for you.
" Yeas , when will you buy a house ? ",Would you be able to let me know when you're planning to buy a house?
" Not untill the end of this year , you know , just before my wedding . ",The big reveal - on my wedding day a couple weeks before.
" Right , congratulations . ",Congratulations - the right answer.
 Thank you . ,Many props.
"Hi , Becky , what's up ? ",Becky! Can you hear me out?
" Not much , except that my mother-in-law is driving me up the wall . ",Nothing.
