Sentence,Paraphrase,Formal_10,Formal_15,Formal_20,Informal_10,Informal_15,Informal_20
"Say , Jim , how about going for a few beers after dinner ? ","Jim, can you please let me know your thoughts on having a beer and having a good conversation after dinner?","Jim, can you suggest a few beers for me to have after dinner?","Jim, can you suggest a few beers for me to have after dinner?","Jim, I'm planning on having a beer or two after dinner.","Would anyone be able to have beer with you after dinner, Jim?","Would anyone be enticed to go out with a beer after dinner, Jim?",Would anyone be ripped for a beer after dinner?
 You know that is tempting but is really not good for our fitness . ,"Despite its tempting nature, it is not conducive to our fitness.","Despite its tempting nature, it is not conducive to our fitness.","Despite its tempting nature, it is not conducive to our fitness.","Despite its tempting nature, it is not conducive to our fitness.",The allure is there - everything is on 'fit' yet it's completely pointless.,"Fitbit obsession - done and not even close to achieving a ""fitness"" level.",Fit'n'all lock! That's tempting but really bad for health.
 What do you mean ? It will help us to relax . ,I'm not sure what you're talking about. It's a great way to unwind and unwind.,I'm not sure what you're talking about. It's a great way to unwind and unplug.,I'm not sure what you're talking about. It's a great way to unwind and unplug.,"I'm not sure what you're saying, but it's a great way to unwind and unpack.",Would you be able to shed all tears? It will be great for our unwinding.,Wouldn't you be able move 5000ms? It will definitely promote a calm mood.,Wouldnt u be able to spell it '? It will definitely play.
 Do you really think so ? I don't . It will just make us fat and act silly . Remember last time ? ,Are you convinced of this statement? I don't believe it. It will only lead to weight gain and silly behavior.,Is it true? I don't think so. It will make us fat and make silly mistakes.,Is it true? I don't think so. It will make us fat and make silly mistakes.,Is it true? I don't think so. It will make us fat and make silly mistakes.,Wouldn't you be 100% sure? Totally! It'll burn a lot of calories and make us fat.,"Real? Absolutely!!I wouldn't believe me.It'll make us fat and dumb,just dumb again.",Real? Absolutely!!...n one whit's doing it natch it'll just make us fatten up even more - it will make me dumbfounded.
 I guess you are right.But what shall we do ? I don't feel like sitting at home . ,"I think you are correct, but what should we do? I don't feel like sitting at home any longer.","I think you are correct, but what should we do? I don't feel like sitting at home any longer.","I think you are correct, but what should we do? I don't feel like sitting at home any longer.","I think you are correct, but what should we do? I don't feel like sitting at home any longer.","Cant sit at home! :( I agree with you, it is perfect but I don't feel like sitting at Home.","Cant sit back at home. :)? You are right mate,I won't even go there!",Cant sit back at home! :( I agree with you ;( )And I am so much better off just like you at Home.
 I suggest a walk over to the gym where we can play singsong and meet some of our friends . ,I propose going to the gym to play sing-along and socialize with friends.,I propose going to the gym to have a sing-along session and meet some of our friends.,I propose going to the gym to have a sing-along session and meet some of our friends.,I propose going to the gym to have a sing-along session and meet some of our friends.,Wouldn't make it a priority if we could walk up to the gym and have ice cream together?,Wouldn't make it'so' ed'' If you were able to walk over there anyways - you would be quickest if you went to the gym / gym where we can sing together & meet up with a group of friends.,Wouldnt make ice cream from a walk up to the gym and invite some friends over to sing at the song.
 That's a good idea . I hear Mary and Sally often go there to play pingpong.Perhaps we can make a foursome with them . ,That's a great idea. Mary and Sally often go there for a game of ping pong. Would it be possible to have a foursome with them?,I think that's a good idea. Mary and Sally often go there for ping pong and I hear they play there often. Would it be possible to have solitary time with them?,I think that's a good idea. Mary and Sally often go there for ping pong and I hear they play there often. Would it be possible to have solitary time with them?,I think that's a good idea. Mary and Sally often go there for ping pong and I hear they play there often. Would it be possible to have solitary time with them?,"Wouldn't make it... Mary and Sally play ping pong in that place - they always bring it up if you do. I wonder,.",Wouldn't make anyone happier if you could team up with Mary and Sally in a foursome. Mary always goes there for pingpong.,Wouldn't make anyone happier if you could team up with Mary and Sally in a foursome. Mary always goes there to play ping pong.
" Sounds great to me ! If they are willing , we could ask them to go dancing with us.That is excellent exercise and fun , too . ","I think that sounds wonderful!! If they are willing, we could ask them to dance with us, which is great exercise, great fun,and a great way to add some exercise.","I think that sounds wonderful! Besides, we could ask them to join us in dancing, which is a great way to get some exercise and also enjoy the company.","I think that sounds wonderful! Besides, we could ask them to join us in dancing, which is a great way to get some exercise and also enjoy the company.","I think that sounds wonderful! Besides, we could ask them to join us in dancing, which is a great way to get some exercise and also enjoy the company.","Awesome!!If they want to dance with us, well,that's awesome!' That'll be a great workout and great fun too!",Awesome!!If they want to dance with us - great exercise & fun.,"Awesome!!If they would be able to dance with us, that would make it a great workout and great fun!"
 Good.Let ' s go now . ,Good.Let's go for a good while.,Good. Let's go.,Good. Let's go.,Good. Let's go.,All done.Good.Let's go!,All done.Let's Go!,All done.Let's Go!
 All right . ,All right.,"I'm not sure if it's okay, that'll be fine.","I'm not sure if it's okay, that'll be fine.","I'm not sure if it's okay, that'll be fine.",All-time.?,All up.,All up.
Can you do push-ups ? ,Are you able to do push-ups?,Do you have the ability to do push-ups?,Do you have the ability to do push-ups?,Do you have the ability to do push-ups?,Would you be able to lift weights?,Would performing push-ups suit you?,Would performing push-ups suit - is it possible u can do it?
" Of course I can . It's a piece of cake ! Believe it or not , I can do 30 push-ups a minute . ",I can do 30 push-ups in a minute - I know - I can do it a million times.,"I can do 30 to 60 push-ups per 60 minutes, and I'm sure I do better than that.",I can do 30 to 60 push-up minutes in a minute and I think I'm doing that.,"I can do my weight on the regular basis with just a few basic push-ups per 60-90 minutes, and I think I'm doing it quite well.",The only thing on my list right now is doing 30 push-ups every minute.,The only thing on my plate now is mastering 30 push-ups every minute.,The only thing on my plate right now is doing 30 push-ups in a minute!
