Sentence,Informal_15
"The In-Laws movie isn't a holiday movie, but it's okay.","The trailer won in The In-Laws isn't Christmas-themed, but it's ok."
I don't think that page gave me viruses.,virus on that page - nothing on this site made me suspicious of.
"I watch it everyday, my favorite charachter is Inuasha.","Every single time he does it's my favorite charachter, Inuasha."
Funbrain.com and runescape.com are great for family fun.,Family entertaining!! Funbrain.com is incredibly addictive! Just look at this video!
He was on the Late Night show with Conan O'Brien and seemed gay.,"Gay, he was on NBC's Late Night show with Conan O'Brien and appeared gay while on the show."
Mel Gibson is a strong believed of God.,Godless is the way in which singer Mel Gibson worshipes God.
My exams are not over yet because I still have one left.,One still lays in my hand because my exams are not yet finished.
Sky Kids 3D: game over.,Game over: Sky Kids 3D.
His mom was a wafer so long.,The mom of the boy was able to last a lifetime because of his size.
I am entirely off or does that help.,Wouldn't change anything whatsoever if I were completely ill - or would it be good 'counselling' all over TV or radio without a soundproofing system.
Her name is Jessica.,Jessica goes above the name she has.
www.us.imdb.com is probably one of your best bets.,One of best picks too? Well you bet! - www.us.imdb.com
Titanic is my favorite movie and I cry when I see it.,Titanic is my ultimate favorite movie and the moment I see it makes me cry.
It gives us something to do.,The answer comes straight away - it always does.
"He is debonair, or perhaps more than that.","He is just dreari, just over."
Many people enjoy the MLB.,Fan gratification exists because baseball is incredibly popular.
"I do not possess that model, but I am partial to my Creative Zen Micro","Creative' EZ Microphone is on my wish list, even though I do not own that model."
I viewed it and I believe it is a quality program.,The video caught my eye yesterday - it's one heck of a show.
She is a poor vocalist.,vocalist she is unable to sing well.
He is very attractive.,"All haters, he is extremely good-looking."
"This is an example of something someone, who is age 20 and married, would do.","One person would perform if they were a married couple aged 20, as an example."
What am I getting paid for doing this?,Wouldn't posting this video on my phone have made me any money if I did not do it before?
Listen to what the first person who answered said.,Pay special rigmt on the first person who responded.
"He could fly that plane, and I think that is funny.",The only thing funny about it is he could fly that plane.
"This was an interesting book, story, and movie.","Fantastic book, story & movie!"
"Sir, it is not good for you.","The best thing happened right away, Sir, it isn't good enough for you."
"it is not open to interpretation, however you can take pleasure in it.","The answer possesses only one draw - you cannot ponder it, but you can eat it anyway."
"I have not seen the television series, however I have seen the R.O.D","The first TV series that I haven't watched is the R.O.D., but I did see the one on the left side of the screen."
"When he urinates it is batman, which is funny because he loses weight in water.","Batman transforms whenever he urinates, making it humorous that if lurching in water, a weight loss occurs."
I like to spend time by myself.,The only thing on my list of things to do w/ alone is alone.
I guy walks into the bar.,Man walks into bar.
"Downloading music from other computers is illegal, but you can do what you want.","Music downloads from computer systems are illegal, but you can still download music from home."
Go to yahoo.com and click on images and type his name in the search box.,Doubleclick on images above the list. Enter yahoo.com username?
He and the other guys agreed on the final cut.,The only people he and the rest of group agreed on the final cut.
We went to the other side.,All the way to the far side!
I didn't know HBO existed in the 1980s.,Had never heard of HBO back in 1980?
"Yes, but not for episode IV.",Can the rump never go away - only episode IV.
You can look at www.oprah.com.,Reach 0 www.oprah.com.
"It is impolite to use all capital letters, Dead Fish Ollec the Fish Slayer.","Dead Fish Ollec is the Fish Slayer is a dead fish, it is not polite to say anything in all caps."
Anyone would cry at these movies.,Everyone would be crying over these movies.
What I like is that you let yourself go. (Hard!),One of mine actually would be if you were a person.
"Entertainment, that's what I want for my $8.00.",Ent entertainment! All I need to do with my $8.00 spending.
"That dude, skip him, he said he knows the lead singer, hes lying.","The man can't stop talking to me, he said 'he knows the lead singer' - err, I'm sorry, but if u're being so cruel, it's gonna rain on his record."
I was first out of all of us. Do I get the points?,Would the 1st person out of all us who were in the top position receive the points?
"Rest assured, though Showtime is talking about starting it, so it will be better.","Showtime already has aired a show about it, starting right away, so it won't be naughty."
it depends on how much money and drugs you have.,Money level - the drug you are using...
The Bangles Hazy shade of Winter.,Banglers song in The Hazy shade of Winter.
But the longest word in the dictionary is antinonestablishtarianism. I think that is how you spell it.,Antiestablishment? You spell it correctly.
Probably at the Ricky Ticky Tavy store.,Wouldn't shop anywhere but in the Ricky Ticky Ty Tavy store.
The gang is all here; goodbye to all the rest!,All done; the gang is all out; goodbye to everyone else!
"The movies are Big, Sleepless In Seattle and I hope the Da Vinci Code.","Big, Sleepless In Seattle and I Hope the Da Vinci Code are the movies to watch."
You do not want to go to hell.,"Hell won't stop you from going to hell, everyone wants to go."
The wild and sexy lady from Brazil is quite a hot woman!,Hot woman!! The wild and sexy woman from Brazil is quite a hot woman indeed!
Two are The Word Is Not Enough and Tomorrow Never Dies.,"One out there, topped by The Word Is Not Enough and Tomorrow Never Dies, is Tomorrow Not Die."
"There were three of them, my daughter, my sister and one of my exes.","The girl survived me, my sister and one of my exes was also one."
"Fort Minor is the name he is currently using, I do not believe he is working on any side projects.","Fort Minor is his chosen name right now, apparently, based off rumors online."
"I like a wide array of music, from all different generas.","All music genres are well-liked on a huge scale, and I enjoy listening to anything and everything."
That is the reason why I enjoy listening to dance and techno styles of music.,"Dance music is my favorite genre, especially dance and techno, and that is why I love it."
"I think they are okay, unfortunately they will have to buy their own tickets to the HOF like we did.","The team is in good spirits, even though everyone else will be unable to go due to ticket shopping."
I have attempted it that way and it does not work.,Even have u done it in one hit and yet it doesn't work.
"It could be true, but I do not know for certain.",The answer  Cant be true?
"I cannot reach my own elbow to lick it, but I can reach my Mother's.","Lin king it on my elbow - I can't even lick my own elbow, I just have to ring a nurse and smack my Mother's head."
I ask such riddles so that I can test other's minds more than my own.,The only reason why I can answer such massive riddles is to challenge everyone else's logic.
"Perhaps you could try rephrasing your question, then re-posting it and you may get a better answer.",Wouldn't make out with your same question? If you were in the situation and you could resend it and expect a better answer.
Take a pass on playing and instead invest time viewing the New Years Special.,Skip playing in favor catching NT - now is the perfect time.
"My preference is As the World Turns on Slim Shady LP, but anything he produced after The Eminem Show was lacking in quality.","Slim Shady released As the World Turns on CD, which is my favorite track, but any music produced by him after The Eminem Show was not up to par."
"I am including a list of items you can get free of charge, as well as a list of things I have already obtained for free.","The freebie list featured everything here is free of charge, along with a list of free items, free giveaways, and free stuff."
First Davey Jones and then it would be Ann Murray.,First American entrepreneur Davey Jones in front of Ann Murray and runner up to be named Dave & Dave.
Very correct to say that he is.,Perfectly legible now (very accurate) saying he is.
She's still a slut.,Still working full time.
"On day three, I finally received the movie they sent me.",Finally delivered on the movie they had sent me on day three.
Ha ha. Got to give credit were credit is due.,Wouldn't even give credit if it exists.
Favorites: My Chemical Romance or Avenge Sevenfold,Would You Rather Be My Chemical Romance or Avenge Sevenfold?
"For sure, 9pm was very hard.",9pm was already proving drearily hot.
I think she is unvirtuous.,The only thing standing in my sight is her shit.
On the third day I received the movie they sent.,"The movie was sent out by email on the third day, it was good."
You have to give credit when it is earned.,The only way to prove it is through credit.
Do you prefer Avenge Sevenfold or My Chemical Romance?,Would you buy me ONE? Avenge Sevenfold or My Chemical Romance?
