Sentence,Paraphrase,Formal_10,Formal_15,Formal_20,Informal_10,Informal_15,Informal_20
"The In-Laws movie isn't a holiday movie, but it's okay.","The In-Laws movie isn't a holiday movie, but it's not bad either.","Although it's not a holiday film, The In-Laws is genuinely likable.","Although it's not a holiday film, The In-Laws is likable.","Although it's not a holiday film, The In-Laws is likable.","The movie named The In-Laws isn't Christmas-themed, but it's on par with it.","The trailer won in The In-Laws isn't Christmas-themed, but it's ok.","The trailer won in The In-Laws isn't Christmas-themed, but it's ok."
I don't think that page gave me viruses.,I don't suspect that that page harbored any viruses.,I'm not convinced that that page gave me viruses.,I'm not convinced that that page gave me viruses.,I'm not convinced that that page gave me viruses.,virus on that page - I don't think I got sick from.,virus on that page - nothing on this site made me suspicious of.,virus on that page - nothing on this site made me suspicious of.
"I watch it everyday, my favorite charachter is Inuasha.","I watch Inuasha every day, and I have a special place in my heart for the charachter that I love the most.","I watch Inuasha, the charachter that is the center of my attention, every day of the week.","I watch Inuasha, the charachter that is the center of my attention, every day of the week.","I watch Inuasha, the charachter that is the center of my attention, every day of the week.","Every single time I watch it, I have a special affectionate bondage - Inuasha.","Every single time he does it's my favorite charachter, Inuasha.","Every single time Jeremy is in front of me on TV, I have a special bond with Inuasha."
Funbrain.com and runescape.com are great for family fun.,Funbrain.com and runescape.com are two websites that provide complete family entertainment options.,Funbrain.com and runescape.co are two websites that provide complete family entertainment options.,Funbrain.com and runescape.co are two websites that provide complete family-friendly activities.,Funbrain.com and runescape.co are two websites that provide a great experience for families looking for family-friendly activities.,Family fun can never be had enough with Funbrain.com and runescape.COM.,Family entertaining!! Funbrain.com is incredibly addictive! Just look at this video!,Family entertaining!! Funbrain.com is incredibly addictive! Just look at Runescape.COM and enjoy!
He was on the Late Night show with Conan O'Brien and seemed gay.,He appeared gay on the Late Night program with Conan O'Brien and appeared with Conan on the Late Night program.,"While appearing on the Late Night program with Conan O'Brien and appearing as a gay man, he was chatting with the late Night host.","While appearing on the Late Night program with Conan O'Brien and appearing as a gay man, he was interacting with the host.","While appearing on the Late Night program with Conan O'Brien and appearing as a gay man, he was interacting with the host.",Gay was the euphemism on display for him during his appearance on the Late Night show with Conan O'Brien and appeared to be gay.,"Gay, he was on NBC's Late Night show with Conan O'Brien and appeared gay while on the show.",Gay he was on the Late Night show with Conan O'Brien.
Mel Gibson is a strong believed of God.,Mel Gibson is a pious believer in God.,"Mel Gibson, an avowed ecclect, considers himself firmly invested in the divine.","Mel Gibson, an avowed ecclect, considers himself firmly invested in the higher power of God.","Mel Gibson, an avowed ecclect, considers himself firmly invested in the higher power of God.",Godless is the way in which singer Mel Gibson worshipes God.,Godless is the way in which singer Mel Gibson worshipes God.,Godless man Mel Gibson is a God-fearing person.
My exams are not over yet because I still have one left.,"I still have one exam to clear, so my exams are not over yet.",I still have to go through my exams because I have one more.,I still have to go through my exams because I have one more.,I still have to go through my exams because I have one more.,"One still looms on me after one exam, making it yet to be done.",One still lays in my hand because my exams are not yet finished.,"One still standing, my exams are over."
Sky Kids 3D: game over.,Sky Kids 3D game finished.,Sky Kids 3D: Sky games game over.,A game that's been retitled as Sky Kids 3D: game to come to an end.,A game that's been retitled as the conclusion in Sky Kids 3D: Game over.,Game over: Sky Kids 3D.,Game over: Sky Kids 3D.,Game over in Sky Kids 3D.
His mom was a wafer so long.,A wafer that was so long that his mom was a walker.,A wafer that was so long that his mother was a walker.,A wafer that was so long that his mother was a walker.,A wafer that was so lengthy that his mother's occupation was that of a waifer-sized mother.,The mom of the boy was able to last for ten years by using a wafer.,The mom of the boy was able to last a lifetime because of his size.,"Mum always wore a huge wafer, like his dad."
I am entirely off or does that help.,Is that a positive thing or am I completely apathetic?,Is that a positive thing or am I completely thrown off?,Is that a positive thing or am I completely irritated?,Is that a positive thing or am I completely irritated?,Wouldn't change anything if this made me perfectly fine or does it.,Wouldn't change anything whatsoever if I were completely ill - or would it be good 'counselling' all over TV or radio without a soundproofing system.,Wouldn't change anything whatsoever if this were happening now.
