Sentence,Formal_15
"Say , Jim , how about going for a few beers after dinner ? ","I'm thinking of having a few beers after dinner, Jim. Do you have any suggestions?"
 You know that is tempting but is really not good for our fitness . ,It's tempting but it'll ultimately harm our physical health.
 What do you mean ? It will help us to relax . ,I'm not sure what you're talking about. It's a great way to unwind and unplug.
 Do you really think so ? I don't . It will just make us fat and act silly . Remember last time ? ,Are you sure? I am not so sure. It will make us fat and make silly mistakes.
 I guess you are right.But what shall we do ? I don't feel like sitting at home . ,"I think you are correct, but what should we do? I don't feel like sitting at home any longer."
 I suggest a walk over to the gym where we can play singsong and meet some of our friends . ,I propose going to the gym to have a snack each day and meet some of our friends after playing sing-song.
 That's a good idea . I hear Mary and Sally often go there to play pingpong.Perhaps we can make a foursome with them . ,That's a great idea. Mary and Sally often go there for ping pong and I'm thinking about forming if we can arrange supper with them.
" Sounds great to me ! If they are willing , we could ask them to go dancing with us.That is excellent exercise and fun , too . ","I think that sounds great :)..It would be great for us to have them join us for a dance, which is also incredibly good for the body and mind, and also great fun to aspirate."
 Good.Let ' s go now . ,Good. Let's go.
 All right . ,"I'm not sure if it's okay, that'll be fine."
Can you do push-ups ? ,Are you capable of doing push-ups?
" Of course I can . It's a piece of cake ! Believe it or not , I can do 30 push-ups a minute . ",I can do 30 to 60 push-ups in a minute and I think I'm doing it.
 Really ? I think that's impossible ! ,Is it not possible for you to believe that?
 You mean 30 push-ups ? ,"Is the term 30 push-ups accurate, or do you mean 30 pull-outs?"
 Yeah ! ,Is it true?
" It's easy . If you do exercise everyday , you can make it , too . ","It's uncomplicated. If you exercise every day, you can also make it a habit."
Can you study with the radio on ? ,Is it possible for you to use the radio to study with the aid of a radio on?
" No , I listen to background music . ","No, I don't listen to any kind of background music."
 What is the difference ? ,What distinguishes the dissimilar?
 The radio has too many comerials . ,Too many comets to count on the radio.
" That's true , but then you have to buy a record player . ","That's correct, but then you have to buy a record player as well."
Are you all right ? ,Are you sure?
