Sentence,Formal_15
"The In-Laws movie isn't a holiday movie, but it's okay.","Although it's not a holiday film, The In-Laws is likable and not too shabby."
I don't think that page gave me viruses.,I'm not convinced that that page gave me viruses.
"I watch it everyday, my favorite charachter is Inuasha.","I watch Inuasha, my charachter of choice, on a regular basis and it's one of my daily preferences."
Funbrain.com and runescape.com are great for family fun.,Both Funbrain.com and runescape. come with a different set of rules for maximizing family enjoyment.
He was on the Late Night show with Conan O'Brien and seemed gay.,He appeared gay while on the Late Night with Conan O'Brien and appeared with the late Night show and was a regular contestant.
Mel Gibson is a strong believed of God.,"Mel Gibson, an avowed ecclesiastical figure, is resolutely in expressing his belief in the existence of kinfolk."
My exams are not over yet because I still have one left.,"I still have one exam to take, so my exams are not over yet."
Sky Kids 3D: game over.,Sky Kids 3D conclusion: Sky games finished.
His mom was a wafer so long.,A wafer that was so long that his mother was.
I am entirely off or does that help.,Is that a good thing or is it completely bad?
Her name is Jessica.,Her maiden name is Jessica.
www.us.imdb.com is probably one of your best bets.,It's highly likely that www.us.imdb.com will be among your top choices.
Titanic is my favorite movie and I cry when I see it.,"I can't help but cry when I see Titanic, which is one of my absolute all-time favorite movies."
It gives us something to do.,It gives us a certain amount of work to do.
"He is debonair, or perhaps more than that.","He is either degrading, or possibly more than that, in your opinion."
Many people enjoy the MLB.,The MLB is a fad with countless individuals due to its widespread appeal.
"I do not possess that model, but I am partial to my Creative Zen Micro","I have no particular model, but I do have a piece of my Creative Zen Micro. However, I am partial to it."
I viewed it and I believe it is a quality program.,I watched it and I think it's a good show.
She is a poor vocalist.,She is a sluggish voice and needs some work.
He is very attractive.,He is very good-looking and very very handsome.
"This is an example of something someone, who is age 20 and married, would do.","This is an example of something that someone who is married and aged 20, and is a 20-year-old, would do."
What am I getting paid for doing this?,What is the amount of money I can expect to receive in exchange for doing this?
Listen to what the first person who answered said.,Be attentive to the first respondent's words.
"He could fly that plane, and I think that is funny.",I find it amusing that he could take that plane and fly it.
"This was an interesting book, story, and movie.","I found this book, story, and movie to be fascinating."
"Sir, it is not good for you.","It is not good for you, Sir, it is bad."
"it is not open to interpretation, however you can take pleasure in it.","It is not a matter of interpretation, but you can enjoy it."
"I have not seen the television series, however I have seen the R.O.D","I have not viewed the television series, but I did see the R.O.D."
"When he urinates it is batman, which is funny because he loses weight in water.","When he urinates, it is like a batman for batten to urinate, which is comical as if squirts water causing him to lose weight."
I like to spend time by myself.,I find solace in being by my wits.
I guy walks into the bar.,A certain man enters the bar and enter.
"Downloading music from other computers is illegal, but you can do what you want.","It is against the law to download any type of computer software, but it is not a computer and can be downloaded from any computer."
Go to yahoo.com and click on images and type his name in the search box.,"To access yahoo.com, simply click on the images and search for his name in the search box by clicking on their images."
He and the other guys agreed on the final cut.,He and the rest of the group reached a consensus on the last cut.
We went to the other side.,We proceeded to the other side.
I didn't know HBO existed in the 1980s.,I had no knowledge of HBO in the 80s.
"Yes, but not for episode IV.","Yes, but not for episode IV."
You can look at www.oprah.com.,"To learn more, visit www.oprah.com."
"It is impolite to use all capital letters, Dead Fish Ollec the Fish Slayer.","It is not acceptable to use any capital letters, for example, Dead Fish Ollec the Fish Slayer is the only case of Deadfish Ollac being the name of a highly improbable and savage fish."
Anyone would cry at these movies.,These films are so tear-jerking that they could potentially cause you to weep.
What I like is that you let yourself go. (Hard!),I find that I like the idea of letting go of the past. (Hard!)
"Entertainment, that's what I want for my $8.00.",I'll spend my $8.00 to get Entertainment.
"That dude, skip him, he said he knows the lead singer, hes lying.","I'm not sure what to make of that dude, but I can't remember if he knew the lead singer, and unless lacked credibility, a statement was made that lied."
I was first out of all of us. Do I get the points?,"I was the initial one to arrive among all of us, so can I claim the points even if I didn't get the first one?"
"Rest assured, though Showtime is talking about starting it, so it will be better.","It's worth noting that Showtime is considering starting it, so it'll be a good idea."
it depends on how much money and drugs you have.,"It's a matter of how much money and drugs you have, and how many of them you possess."
The Bangles Hazy shade of Winter.,"The colour combination of the Bangles's Hazy of Winter, The Banglers."
But the longest word in the dictionary is antinonestablishtarianism. I think that is how you spell it.,I'm not sure what the long word for antinonestablishtarianism is in the dictionary. It's the longest one in it. How do you spell it?
Probably at the Ricky Ticky Tavy store.,It's likely to be at the Ricky Ticky Ty Tavy store.
The gang is all here; goodbye to all the rest!,The assemblage is all; the rest is departed; let's say goodbye to the others!
"The movies are Big, Sleepless In Seattle and I hope the Da Vinci Code.","I'll be watching Big, Sleepless In Seattle and I hope the Da Vinci Code."
You do not want to go to hell.,It's not your desire to be sent to hell.
The wild and sexy lady from Brazil is quite a hot woman!,"A sexy, emaciated and raunchy Latin Americana is not to be disregarded, but she does look a lot like - ""A hell of kitty for XXLIX! """
Two are The Word Is Not Enough and Tomorrow Never Dies.,The two are The Word Is Not Enough and Tomorrow Never Dies.
"There were three of them, my daughter, my sister and one of my exes.","My daughter, my sister, and one of my exes were the three of them, which were my daughter and sister."
"Fort Minor is the name he is currently using, I do not believe he is working on any side projects.","I believe he is not involved in any other work besides Fort Minor, as I have no reason to believe that a name like Fort Major is his."
"I like a wide array of music, from all different generas.","I have a fondness for countless types of the genre, including all genres, and I enjoy adorning them with every genre."
That is the reason why I enjoy listening to dance and techno styles of music.,I find great pleasure in listening to the various dance and tech-related genres of music for this reason.
"I think they are okay, unfortunately they will have to buy their own tickets to the HOF like we did.","I think they are doing fine, but unfortunately, they will have to purchase their own tickets as we did for the HOF."
I have attempted it that way and it does not work.,I have tried doing it in that way and it does not work.
"It could be true, but I do not know for certain.","It is conceivable that it is, but I am unsure if it truly is."
